id,split,measured,predicted,note
CHEMBL144843,train,8.96,4.27,
CHEMBL344759,train,8.92,4.21,
CHEMBL328903,train,8.89,2.8,
CHEMBL342100,train,8.89,4.05,
CHEMBL414852,train,8.89,6.89,
CHEMBL198634,train,8.89,6.1,
CHEMBL344060,train,8.82,3.2,
CHEMBL439983,train,8.77,4.25,
CHEMBL144525,train,8.66,3.99,
CHEMBL144568,train,8.66,3.81,
CHEMBL342732,train,8.62,2.83,
CHEMBL144293,train,8.59,3.02,
CHEMBL102798,train,8.29,4.09,
CHEMBL471537,test,8.11,3.29,
CHEMBL56289,train,8.1,6.54,
CHEMBL292545,train,7.96,4.29,
CHEMBL294618,train,7.92,6.24,
CHEMBL158823,test,7.92,3.6,
CHEMBL123571,train,7.92,5.34,
CHEMBL76222,train,7.825,3.53,
CHEMBL352232,train,7.82,3.58,
CHEMBL102785,train,7.8,6.34,
CHEMBL102438,train,7.72,5.32,
CHEMBL352068,train,7.72,5.54,
CHEMBL351888,train,7.72,4.77,
CHEMBL328917,test,7.7,4.17,
CHEMBL106016,train,7.7,4.92,
CHEMBL27408,test,7.68,5.1,
CHEMBL343855,train,7.68,7.26,
CHEMBL159141,train,7.66,4.73,
CHEMBL49107,train,7.64,3.99,
CHEMBL287632,train,7.62,5.98,
CHEMBL115727,train,7.62,6.73,
CHEMBL282581,train,7.6,6.82,
CHEMBL126122,train,7.6,4.83,
CHEMBL5175662,train,7.6,4.77,
CHEMBL295798,train,7.585,3.27,
CHEMBL301221,train,7.58,7.04,
CHEMBL56821,train,7.58,5.92,
CHEMBL130164,test,7.57,3.07,
CHEMBL351968,test,7.54,4.39,
CHEMBL29897,train,7.52,7.39,
CHEMBL98233,test,7.52,5.27,
CHEMBL132443,train,7.5,3.86,
CHEMBL59423,train,7.47,6.66,
CHEMBL69323,train,7.46,8.58,
CHEMBL284422,train,7.44,5.26,
CHEMBL407443,test,7.44,2.67,
CHEMBL161838,train,7.44,3.72,
CHEMBL436623,train,7.44,2.21,
CHEMBL25788,test,7.43,6.05,
CHEMBL251687,train,7.43,6.77,
CHEMBL162072,train,7.43,3.95,
CHEMBL350140,train,7.42,4.59,
CHEMBL105311,train,7.41,4.13,
CHEMBL298846,test,7.4,6.62,
CHEMBL291714,train,7.4,5.99,
CHEMBL92608,train,7.4,3.45,
CHEMBL29801,train,7.39,5.3,
CHEMBL348826,train,7.39,5.53,
CHEMBL161572,train,7.36,1.79,
CHEMBL306674,train,7.33,8.32,
CHEMBL30134,test,7.33,7.34,
CHEMBL125553,train,7.33,4.02,
CHEMBL417574,train,7.31,4.8,
CHEMBL421029,train,7.31,1.86,
CHEMBL161536,train,7.31,5.08,
CHEMBL110312,train,7.3,3.26,
CHEMBL47842,train,7.3,5.56,
CHEMBL345244,train,7.29,4.26,
CHEMBL118744,test,7.29,5.47,
CHEMBL352231,train,7.27,1.74,
CHEMBL345640,train,7.27,6.05,
CHEMBL161224,train,7.25,5.36,
CHEMBL416857,train,7.24,4.05,
CHEMBL515980,train,7.23,6.02,
CHEMBL422266,train,7.21,6.07,
CHEMBL58546,test,7.2,5.12,
CHEMBL26913,test,7.19,6.43,
CHEMBL350789,test,7.16,3.24,
CHEMBL30055,train,7.14,4.45,
CHEMBL286254,train,7.13,7.28,
CHEMBL158571,train,7.13,5.93,
CHEMBL333729,train,7.1,5.21,
CHEMBL118848,train,7.1,4.98,
CHEMBL351887,train,7.09,6.67,
CHEMBL55931,test,7.08,5.76,
CHEMBL347249,train,7.08,6.83,
CHEMBL30034,train,7.075,6.02,
CHEMBL158622,test,7.075,5.72,
CHEMBL352066,train,7.07,6.81,
CHEMBL351344,train,7.07,5.05,
CHEMBL433902,train,7.06,5.92,
CHEMBL293130,train,7.03,5.49,
CHEMBL62436,train,7.02,5.14,
CHEMBL280824,train,6.99,6.73,
CHEMBL348784,train,6.99,3.63,
CHEMBL301413,train,6.98,6.83,
CHEMBL29505,test,6.97,7.35,
CHEMBL159159,train,6.97,6.4,
CHEMBL61679,test,6.89,5.17,
CHEMBL54176,train,6.89,6.33,
CHEMBL161562,train,6.86,5.7,
CHEMBL234530,train,6.84,5.18,
CHEMBL57551,train,6.83,6.04,
CHEMBL45133,train,6.82,4.89,
CHEMBL330729,train,6.82,2.72,
CHEMBL158625,train,6.82,1.69,
CHEMBL4518217,train,6.82,-1.08,
CHEMBL4466038,train,6.81,-1.02,
CHEMBL159033,train,6.8,5.34,
CHEMBL300153,train,6.77,6.85,
