id,split,measured,predicted,note
CHEMBL144843,train,8.96,5.46,
CHEMBL344759,train,8.92,4.97,
CHEMBL328903,train,8.89,4.55,
CHEMBL342100,train,8.89,4.91,
CHEMBL414852,train,8.89,7.41,
CHEMBL198634,train,8.89,8.08,
CHEMBL344060,train,8.82,5.27,
CHEMBL439983,train,8.77,6.36,
CHEMBL144525,train,8.66,5.87,
CHEMBL144568,train,8.66,4.73,
CHEMBL342732,train,8.62,4.42,
CHEMBL144293,train,8.59,5.72,
CHEMBL102798,train,8.29,6.56,
CHEMBL471537,test,8.11,5.19,
CHEMBL56289,train,8.1,6.86,
CHEMBL292545,train,7.96,4.46,
CHEMBL294618,train,7.92,7.27,
CHEMBL158823,test,7.92,5.8,
CHEMBL123571,train,7.92,6.6,
CHEMBL76222,train,7.825,5.34,
CHEMBL352232,train,7.82,4.5,
CHEMBL102785,train,7.8,6.47,
CHEMBL102438,train,7.72,6.6,
CHEMBL352068,train,7.72,6.79,
CHEMBL351888,train,7.72,5.83,
CHEMBL328917,test,7.7,5.4,
CHEMBL106016,train,7.7,5.62,
CHEMBL27408,test,7.68,6.68,
CHEMBL343855,train,7.68,8.07,
CHEMBL159141,train,7.66,7.62,
CHEMBL49107,train,7.64,5.1,
CHEMBL287632,train,7.62,6.02,
CHEMBL115727,train,7.62,7.02,
CHEMBL282581,train,7.6,7.48,
CHEMBL126122,train,7.6,6.56,
CHEMBL5175662,train,7.6,5.66,
CHEMBL295798,train,7.585,4.92,
CHEMBL301221,train,7.58,7.58,
CHEMBL56821,train,7.58,6.77,
CHEMBL130164,test,7.57,4.8,
CHEMBL351968,test,7.54,4.71,
CHEMBL29897,train,7.52,7.95,
CHEMBL98233,test,7.52,6.58,
CHEMBL132443,train,7.5,4.72,
CHEMBL59423,train,7.47,7.51,
CHEMBL69323,train,7.46,8.86,
CHEMBL284422,train,7.44,7.3,
CHEMBL407443,test,7.44,6.13,
CHEMBL161838,train,7.44,5.1,
CHEMBL436623,train,7.44,5.6,
CHEMBL25788,test,7.43,6.63,
CHEMBL251687,train,7.43,7.16,
CHEMBL162072,train,7.43,5.84,
CHEMBL350140,train,7.42,6.5,
CHEMBL105311,train,7.41,4.7,
CHEMBL298846,test,7.4,7.31,
CHEMBL291714,train,7.4,7.08,
CHEMBL92608,train,7.4,4.69,
CHEMBL29801,train,7.39,7.29,
CHEMBL348826,train,7.39,6.7,
CHEMBL161572,train,7.36,6.55,
CHEMBL306674,train,7.33,8.55,
CHEMBL30134,test,7.33,8.33,
CHEMBL125553,train,7.33,4.97,
CHEMBL417574,train,7.31,5.53,
CHEMBL421029,train,7.31,4.38,
CHEMBL161536,train,7.31,7.23,
CHEMBL110312,train,7.3,5.84,
CHEMBL47842,train,7.3,6.15,
CHEMBL345244,train,7.29,6.25,
CHEMBL118744,test,7.29,6.7,
CHEMBL352231,train,7.27,6.49,
CHEMBL345640,train,7.27,7.18,
CHEMBL161224,train,7.25,6.68,
CHEMBL416857,train,7.24,4.84,
CHEMBL515980,train,7.23,6.35,
CHEMBL422266,train,7.21,7.2,
CHEMBL58546,test,7.2,5.69,
CHEMBL26913,test,7.19,7.4,
CHEMBL350789,test,7.16,6.81,
CHEMBL30055,train,7.14,5.37,
CHEMBL286254,train,7.13,7.6,
CHEMBL158571,train,7.13,6.9,
CHEMBL333729,train,7.1,5.65,
CHEMBL118848,train,7.1,6.14,
CHEMBL351887,train,7.09,8.05,
CHEMBL55931,test,7.08,6.43,
CHEMBL347249,train,7.08,8.27,
CHEMBL30034,train,7.075,6.93,
CHEMBL158622,test,7.075,8.92,
CHEMBL352066,train,7.07,7.65,
CHEMBL351344,train,7.07,6.43,
CHEMBL433902,train,7.06,6.81,
CHEMBL293130,train,7.03,6.56,
CHEMBL62436,train,7.02,5.92,
CHEMBL280824,train,6.99,7.92,
CHEMBL348784,train,6.99,5.33,
CHEMBL301413,train,6.98,7.05,
CHEMBL29505,test,6.97,7.89,
CHEMBL159159,train,6.97,7.91,
CHEMBL61679,test,6.89,6.48,
CHEMBL54176,train,6.89,8.04,
CHEMBL161562,train,6.86,6.84,
CHEMBL234530,train,6.84,5.96,
CHEMBL57551,train,6.83,6.65,
CHEMBL45133,train,6.82,5.62,
CHEMBL330729,train,6.82,3.77,
CHEMBL158625,train,6.82,4.04,
CHEMBL4518217,train,6.82,-1.09,
CHEMBL4466038,train,6.81,-1.02,
CHEMBL159033,train,6.8,6.07,
CHEMBL300153,train,6.77,7.86,
CHEMBL339294,train,6.755,-0.5,
CHEMBL87377,test,6.74,5.83,
CHEMBL96018,test,6.72,5.19,
CHEMBL158739,train,6.72,7.04,
CHEMBL358812,train,6.7,7.28,
CHEMBL158696,train,6.68,4.89,
CHEMBL291490,train,6.67,7.63,
CHEMBL305024,train,6.66,7.98,
CHEMBL62709,train,6.65,6.91,
CHEMBL3142558,test,6.64,4.84,
CHEMBL47907,train,6.64,4.04,
