id,measured,predicted
CHEMBL471537,8.11,6.993573405108662
CHEMBL158823,7.92,7.215070113025116
CHEMBL328917,7.7,6.1566096543451465
CHEMBL27408,7.68,7.233728859812328
CHEMBL130164,7.57,6.791622610434686
CHEMBL351968,7.54,7.215070113025116
CHEMBL98233,7.52,6.389895625026659
CHEMBL407443,7.44,7.450243088641963
CHEMBL25788,7.43,6.578335007254735
CHEMBL298846,7.4,6.652059390250738
CHEMBL30134,7.33,6.975022733553631
CHEMBL118744,7.29,6.510448022094825
CHEMBL58546,7.2,6.7530652362226204
CHEMBL26913,7.19,6.599485968265865
CHEMBL350789,7.16,7.137169300129
CHEMBL55931,7.08,6.9004193676230114
CHEMBL158622,7.075,6.811992312274534
CHEMBL29505,6.97,7.145958838285208
CHEMBL61679,6.89,7.520725273143109
CHEMBL87377,6.74,6.146920146707274
CHEMBL96018,6.72,6.443012279614204
CHEMBL3142558,6.64,6.174231429973331
CHEMBL456774,6.63,6.611025310008888
CHEMBL349800,6.57,7.290002525087318
CHEMBL128406,6.55,6.758142559798506
CHEMBL424407,6.51,6.926986822987954
CHEMBL3142560,6.51,6.174231429973331
CHEMBL298443,6.46,7.031124365374171
CHEMBL3142557,6.34,6.174231429973331
CHEMBL45882,6.33,6.07117745940301
CHEMBL162128,6.31,7.051347293717169
CHEMBL234529,6.27,6.08575900147421
CHEMBL342102,6.04,6.32333208596008
CHEMBL3221864,5.97,6.295504738894113
CHEMBL124623,5.85,7.348823557060809
CHEMBL3944931,5.8,6.012149818915986
CHEMBL443261,5.74,6.30349999839117
CHEMBL132762,5.7,6.423454221879245
CHEMBL3142562,5.65,6.240228209297396
CHEMBL298585,5.46,6.909951517238642
CHEMBL44103,5.46,6.672716441278222
CHEMBL293481,5.4,5.571919841245664
CHEMBL294997,5.37,6.251594454343075
CHEMBL319808,5.3,6.605589777403686
CHEMBL71120,4.85,6.3925444065934585
CHEMBL342005,4.75,5.370900304331969
CHEMBL48121,4.41,6.07117745940301
