id,measured,predicted
CHEMBL1683457,9.32,9.126409125941004
CHEMBL1683453,9.28,8.658277864332701
CHEMBL1683464,9.24,9.053468106297828
CHEMBL1683456,9.03,9.067083930517844
CHEMBL1784336,8.72,8.585653620798146
CHEMBL4072836,8.7,8.167495106591641
CHEMBL1683463,8.68,8.892361876038164
CHEMBL1784337,8.39,8.229734513043171
CHEMBL4097165,8.22,8.254857383602081
CHEMBL3358155,8.1,8.2307416672102
CHEMBL1784350,8.01,7.810800887349346
CHEMBL4868710,7.92,7.290859181414429
CHEMBL3358157,7.66,7.964809751178247
CHEMBL4864283,7.64,7.495117794219683
CHEMBL6017575,7.62,7.685662733879071
CHEMBL1784340,7.58,7.4425341549105
CHEMBL4846457,7.52,7.2554340542280755
CHEMBL1784344,7.32,7.810800887349346
CHEMBL3358151,7.13,6.569718800313098
CHEMBL5987738,7.12,6.767309250706064
CHEMBL5772350,7.12,7.234122913441992
CHEMBL5834069,7.12,7.290711439603121
CHEMBL5837441,7.12,7.305129095050982
CHEMBL511203,7.0,6.064650472871672
CHEMBL297453,7.0,6.875273562969155
CHEMBL3622489,6.99,7.471672244291314
CHEMBL1784365,6.89,7.464833486145237
CHEMBL3622497,6.8,7.394780031943234
CHEMBL3622486,6.79,7.599467178376463
CHEMBL1766896,6.68,5.902682247474405
CHEMBL182273,6.66,7.108020863870093
CHEMBL3622487,6.55,7.503544362678637
CHEMBL1910472,6.51,5.989932118810587
CHEMBL184522,6.43,7.505454629471987
CHEMBL4876618,6.43,7.255761801412657
CHEMBL466017,6.4,6.140438996245308
CHEMBL1784362,6.33,6.3065981818189245
CHEMBL4859812,6.2,6.940883959246637
CHEMBL4850670,6.15,5.420114750992393
CHEMBL467509,6.14,6.0018945266064465
CHEMBL512804,6.05,5.987719531241596
CHEMBL79433,6.0,6.071749048304261
CHEMBL2437159,6.0,6.534241747976092
CHEMBL466488,5.92,5.892897382260949
CHEMBL3622505,5.74,6.729758979374825
CHEMBL562003,5.66,5.149392799743463
CHEMBL1683448,5.66,8.774928341493846
CHEMBL1910467,5.66,5.8034388837659066
CHEMBL467310,5.31,6.4684901259684136
CHEMBL198184,5.26,4.987138930026606
CHEMBL1910453,5.26,5.878627468624395
CHEMBL3622496,5.25,7.028440476738816
CHEMBL3622477,5.19,7.269017922164611
CHEMBL5575976,5.17,7.9156427658606034
CHEMBL1270372,5.1,5.31541718207176
CHEMBL2164111,5.08,5.855493996427769
CHEMBL200749,5.05,5.061936136981331
CHEMBL1910469,5.04,5.88471290355549
CHEMBL5286469,5.0,4.542135101296727
CHEMBL237366,4.98,6.106489209237169
CHEMBL372158,4.94,5.588822326212873
CHEMBL1910470,4.82,5.850691402440417
CHEMBL5267646,4.75,5.082313076447273
CHEMBL1910455,4.6,5.623903756015201
CHEMBL1910464,4.48,4.9711392409815955
CHEMBL5268743,4.46,4.95390811233965
CHEMBL231740,4.36,5.464979870655836
