id,measured,predicted
CHEMBL6174035,9.9,8.95263750000003
CHEMBL4637689,9.8,8.20782500000002
CHEMBL4634501,9.7,7.7404250000000046
CHEMBL5288006,9.7,9.018524999999961
CHEMBL5220616,9.52,9.24725416666667
CHEMBL5219739,9.51,9.166783333333356
CHEMBL4861271,9.49,9.361438333333355
CHEMBL5219969,9.42,8.76587916666669
CHEMBL4785376,9.4,8.120833333333348
CHEMBL5565952,9.38,6.598442857142869
CHEMBL3039527,9.34,8.390837500000014
CHEMBL5219338,9.32,8.16486125000001
CHEMBL5220454,9.31,8.519495833333325
CHEMBL4455057,9.22,8.178746666666678
CHEMBL4748244,9.22,8.066220833333347
CHEMBL3759921,9.15,8.242499999999982
CHEMBL4638330,9.14,8.664612500000034
CHEMBL4472220,9.11,6.625150000000007
CHEMBL4742983,9.11,8.993599999999997
CHEMBL5785366,9.11,8.0828275
CHEMBL216641,9.1,6.407885416666669
CHEMBL4644118,9.1,8.798843750000026
CHEMBL4740827,9.08,9.108300000000003
CHEMBL3827865,9.07,8.691800000000015
CHEMBL4592929,9.04,7.9504999999999715
CHEMBL3218563,9.03,8.332770277777785
CHEMBL6133438,9.03,8.19672499999996
CHEMBL2047691,9.0,8.477799999999991
CHEMBL2047692,9.0,8.243350000000024
CHEMBL2047695,9.0,8.297124999999998
CHEMBL2047696,9.0,8.472324999999993
CHEMBL4792257,9.0,8.452437499999974
CHEMBL4848938,9.0,8.105537500000004
CHEMBL3827794,8.99,8.549675000000015
CHEMBL3826997,8.96,8.777800000000015
CHEMBL443392,8.96,8.192430416666667
CHEMBL4863294,8.96,8.585175
CHEMBL5178922,8.96,7.829833333333338
CHEMBL5201054,8.96,7.150262499999996
CHEMBL5274330,8.94,7.004183333333339
CHEMBL1836145,8.92,8.973206666666725
CHEMBL5314582,8.92,7.603670000000009
CHEMBL5595677,8.92,7.168162499999995
CHEMBL6003322,8.92,6.914768749999996
CHEMBL5747623,8.92,8.016799999999984
CHEMBL1819257,8.89,7.447624999999995
CHEMBL5218980,8.89,8.67475583333335
CHEMBL1819267,8.82,7.690758333333337
CHEMBL3828628,8.8,8.80295000000002
CHEMBL4521497,8.8,8.57772499999996
CHEMBL5185310,8.8,6.854053333333336
CHEMBL5271471,8.77,8.008933333333312
CHEMBL4456371,8.74,7.8198750000000015
CHEMBL5406191,8.72,8.130624999999991
CHEMBL5427151,8.72,7.800674999999968
CHEMBL99456,8.7,7.564837500000011
CHEMBL217154,8.7,7.02568333333335
CHEMBL585939,8.7,7.094197916666668
CHEMBL1819260,8.7,7.927137499999994
CHEMBL2047690,8.7,8.555425000000016
CHEMBL3339024,8.7,8.151749999999998
CHEMBL4640415,8.7,7.9896250000000055
CHEMBL4867665,8.7,7.013724999999986
CHEMBL5787927,8.7,8.160608333333311
CHEMBL6147849,8.7,8.26009999999996
CHEMBL3758735,8.68,8.141174999999993
CHEMBL4535819,8.68,8.378274999999995
CHEMBL3622727,8.66,8.393964583333325
CHEMBL5393893,8.66,8.459175000000009
CHEMBL3317816,8.64,8.722135416666648
CHEMBL4468089,8.64,7.50675416666667
CHEMBL5189457,8.64,7.726268750000007
CHEMBL5269123,8.64,7.940299999999986
CHEMBL4457009,8.62,8.59882499999999
CHEMBL4870348,8.6,6.752524999999994
CHEMBL3218564,8.59,8.792475833333368
