id,measured,predicted
CHEMBL370842,8.89,7.910487499999992
CHEMBL414852,8.89,7.336675000000001
CHEMBL344060,8.82,8.630807499999996
CHEMBL341570,8.72,7.493906249999984
CHEMBL421932,8.72,8.033799999999967
CHEMBL206688,8.7,8.057406250000033
CHEMBL115653,8.64,7.696106249999983
CHEMBL342732,8.62,8.751400000000004
CHEMBL33306,8.57,7.7999633333333485
CHEMBL344634,8.54,8.306529999999995
CHEMBL40351,8.52,7.385872500000004
CHEMBL66532,8.52,7.6907841666666705
CHEMBL293503,8.52,7.40657500000002
CHEMBL110696,8.33,8.138403125000012
CHEMBL325940,8.3,7.842964999999996
CHEMBL288649,8.22,7.3684862500000055
CHEMBL99189,8.22,8.150449999999989
CHEMBL440945,8.22,8.186360000000018
CHEMBL64013,8.21,7.447674999999992
CHEMBL303298,8.18,8.260715833333343
CHEMBL207729,8.165,8.073866250000039
CHEMBL380439,8.15,7.880825000000016
CHEMBL56289,8.1,7.067056249999986
CHEMBL114657,8.1,7.973047500000019
CHEMBL75094,8.09,8.130774999999948
CHEMBL286772,8.07,6.932374999999996
CHEMBL11306,8.06,7.922483750000009
CHEMBL318716,8.05,8.121608333333318
CHEMBL76356,8.0,6.294915624999987
CHEMBL96771,8.0,6.632972767857142
CHEMBL432223,8.0,7.877992500000018
CHEMBL2107228,8.0,8.11456736111111
CHEMBL16630,7.96,7.45705624999999
CHEMBL294618,7.92,7.140918749999978
CHEMBL129561,7.92,7.2535666666666625
CHEMBL109596,7.85,8.16076770833335
CHEMBL103737,7.77,7.2928602083333445
CHEMBL338502,7.77,7.2928602083333445
CHEMBL351888,7.72,7.039427500000005
CHEMBL58945,7.7,6.677737500000026
CHEMBL114427,7.7,8.197377500000023
CHEMBL144313,7.7,7.127704166666644
CHEMBL3921667,7.7,6.319691309523812
CHEMBL343855,7.68,6.785337499999992
CHEMBL330857,7.68,7.233358750000015
CHEMBL333586,7.66,6.990899999999987
CHEMBL310688,7.6,6.371340624999999
CHEMBL282581,7.6,7.352710416666643
CHEMBL115211,7.6,8.10881583333334
CHEMBL127161,7.6,7.411651458333345
CHEMBL122719,7.6,7.189264583333316
CHEMBL301221,7.58,6.990024999999992
CHEMBL99103,7.55,6.893141666666658
CHEMBL29897,7.52,6.6256402678571495
CHEMBL200274,7.52,7.552228333333326
CHEMBL251253,7.51,6.863062499999964
CHEMBL132443,7.5,7.301640000000008
CHEMBL96419,7.48,6.549686666666666
CHEMBL205998,7.48,7.69856249999998
CHEMBL284422,7.44,7.206537499999976
CHEMBL286295,7.43,6.481437500000003
CHEMBL122831,7.43,7.155705000000006
CHEMBL135590,7.42,7.63718124999997
CHEMBL78369,7.4,5.530474999999991
CHEMBL48226,7.4,6.041570833333344
CHEMBL92608,7.4,7.256362499999992
CHEMBL29801,7.39,7.32715166666664
CHEMBL348826,7.39,6.939048749999987
CHEMBL254401,7.35,6.864339583333301
CHEMBL16505,7.34,7.45705624999999
CHEMBL4780030,7.33,6.228761458333333
CHEMBL47842,7.3,6.39636333333334
CHEMBL431988,7.29,7.203424166666667
CHEMBL418291,7.27,7.481249999999992
CHEMBL122651,7.27,6.993781249999995
CHEMBL337045,7.24,7.563943749999998
CHEMBL515980,7.23,6.91848125000003
CHEMBL28170,7.22,5.928052083333337
CHEMBL109239,7.22,7.664182500000004
CHEMBL254400,7.22,5.928052083333337
CHEMBL122836,7.22,7.450999999999997
CHEMBL316298,7.21,6.423533333333332
CHEMBL343082,7.21,7.739564999999996
CHEMBL316822,7.21,6.813849999999998
CHEMBL55110,7.21,7.11715208333333
CHEMBL331095,7.17,7.1258499999999945
CHEMBL125755,7.16,6.977466666666657
CHEMBL123499,7.15,6.9146499999999875
CHEMBL419995,7.13,6.835281250000009
CHEMBL5278767,7.13,6.2764625000000125
CHEMBL333729,7.1,6.191554166666641
CHEMBL331834,7.09,6.552400000000022
CHEMBL302489,7.08,7.24317083333332
CHEMBL539787,7.04,6.8650083333333445
CHEMBL522422,7.03,6.430707499999988
CHEMBL311932,7.015,6.372505833333344
CHEMBL280824,6.99,7.03258916666665
CHEMBL337042,6.97,6.937208333333348
CHEMBL36191,6.97,6.753087500000033
CHEMBL159159,6.97,6.756519166666667
CHEMBL76606,6.94,6.443350000000025
CHEMBL327442,6.94,6.872487797619035
CHEMBL33418,6.92,7.08970690476192
CHEMBL197729,6.92,6.859075000000011
CHEMBL440178,6.9,6.869855357142846
CHEMBL93231,6.89,5.814049999999998
CHEMBL37788,6.87,6.818062500000008
CHEMBL332406,6.86,6.853951666666673
CHEMBL2111753,6.845,6.386449999999993
CHEMBL123167,6.84,6.9094166666666785
CHEMBL234530,6.84,6.239231249999997
CHEMBL331669,6.82,6.625941666666672
CHEMBL150745,6.81,6.967045833333319
CHEMBL319341,6.81,6.549587500000013
CHEMBL374377,6.8,6.681800833333344
CHEMBL91434,6.77,6.075829166666673
CHEMBL81113,6.76,6.465729166666689
CHEMBL124680,6.76,6.72362500000001
CHEMBL4524115,6.75,6.162292261904758
CHEMBL254608,6.75,6.519348095238084
CHEMBL1078281,6.75,6.176356250000009
CHEMBL87377,6.74,6.259173750000003
CHEMBL96018,6.72,6.562196250000028
CHEMBL101864,6.71,6.585588958333344
CHEMBL113778,6.7,5.918550000000019
CHEMBL358812,6.7,6.494618750000006
CHEMBL3902100,6.7,6.71173437500001
CHEMBL3910163,6.7,6.7005027083333335
CHEMBL102499,6.66,6.735951666666677
CHEMBL190415,6.645,6.6325354761904665
CHEMBL311304,6.62,6.5881606249999995
CHEMBL416095,6.62,6.413737499999997
CHEMBL180130,6.62,6.69847916666665
CHEMBL147844,6.6,6.646762500000009
CHEMBL76619,6.58,6.188159791666671
CHEMBL326369,6.58,6.09870416666664
CHEMBL145930,6.58,6.7011500000000055
CHEMBL2112796,6.57,6.893875000000041
CHEMBL250891,6.57,6.505673988095267
CHEMBL178929,6.56,6.532079166666656
CHEMBL115283,6.55,6.517737500000018
