id,measured,predicted
CHEMBL5203492,10.05,10.041325000000013
CHEMBL5191820,10.01,10.14655000000001
CHEMBL1801396,10.0,9.179574999999994
CHEMBL5413121,10.0,9.684350000000006
CHEMBL2064547,9.89,8.826220833333341
CHEMBL5190160,9.77,9.955624999999976
CHEMBL91124,9.7,8.667633333333342
CHEMBL94248,9.7,8.609875000000011
CHEMBL347595,9.7,8.32373749999997
CHEMBL343911,9.7,7.825425000000003
CHEMBL1801420,9.7,9.215275000000036
CHEMBL1801048,9.7,9.24900000000004
CHEMBL5174280,9.69,7.38184999999995
CHEMBL1801421,9.6,9.141350000000006
CHEMBL279078,9.52,8.194508333333319
CHEMBL323090,9.52,8.428387500000026
CHEMBL149431,9.52,7.900099999999998
CHEMBL304243,9.52,8.296637499999992
CHEMBL5398498,9.51,9.229624999999993
CHEMBL78052,9.48,8.971475000000009
CHEMBL2064542,9.46,8.20550833333333
CHEMBL5270698,9.44,9.302950000000033
CHEMBL321180,9.42,8.032771666666648
CHEMBL356011,9.4,8.597850000000006
CHEMBL317508,9.4,8.407587500000009
CHEMBL1801054,9.4,9.6982
CHEMBL362651,9.39,9.100324999999977
CHEMBL5275421,9.3,8.769649999999977
CHEMBL3221177,9.28,8.886400000000037
CHEMBL1916211,9.26,8.110724999999988
CHEMBL75189,9.24,9.093424999999991
CHEMBL91434,9.22,8.797550000000015
CHEMBL3221178,9.21,9.077575000000023
CHEMBL5209121,9.21,10.143925000000038
CHEMBL5558206,9.19,8.368375000000029
CHEMBL415482,9.17,8.905150000000004
CHEMBL292313,9.15,8.888472499999985
CHEMBL102438,9.15,8.801025000000031
CHEMBL3828531,9.13,8.414517261904717
CHEMBL311266,9.1,8.382245833333338
CHEMBL179288,9.1,8.278744791666604
CHEMBL1801051,9.1,9.700700000000005
CHEMBL206944,9.08,8.375693750000021
CHEMBL312100,9.05,8.496047619047603
CHEMBL2425949,9.05,8.998025000000036
CHEMBL83955,9.0,6.856271666666666
CHEMBL344633,9.0,7.748062500000002
CHEMBL102785,9.0,8.293566666666695
CHEMBL147261,9.0,8.755599999999989
CHEMBL3827521,9.0,8.767016666666661
CHEMBL83282,8.96,8.195583809523823
CHEMBL118497,8.96,8.282662500000022
CHEMBL211036,8.96,8.596874999999976
CHEMBL433171,8.89,8.701900000000018
CHEMBL3617400,8.82,8.94290416666666
CHEMBL271736,8.77,8.387625000000009
CHEMBL432079,8.74,7.95604875000002
CHEMBL3037894,8.72,8.715200000000008
CHEMBL306050,8.72,8.966750000000028
CHEMBL66532,8.72,7.58670000000001
CHEMBL263750,8.72,8.01263000000001
CHEMBL2043424,8.72,8.966750000000028
CHEMBL43113,8.7,7.313063749999999
CHEMBL47076,8.7,7.597042857142866
CHEMBL147494,8.7,8.928949999999993
CHEMBL145930,8.7,8.374049999999997
CHEMBL550148,8.7,7.411364583333324
CHEMBL2425942,8.7,8.794624999999998
CHEMBL2425932,8.7,8.102800000000004
CHEMBL3585761,8.7,6.544279166666643
CHEMBL3792842,8.66,7.916387499999992
CHEMBL227484,8.64,7.165258333333336
CHEMBL2380401,8.64,7.72240500000001
CHEMBL7756,8.62,8.397275000000025
CHEMBL441662,8.62,8.102992499999983
CHEMBL420657,8.6,8.014124999999984
CHEMBL306585,8.59,9.06875
CHEMBL1812941,8.59,7.0787274999999985
CHEMBL77874,8.55,9.318275000000027
CHEMBL251831,8.55,7.697425000000004
CHEMBL3350758,8.55,8.812475000000004
CHEMBL5185823,8.54,8.200449999999979
CHEMBL542088,8.52,7.5481345238095425
CHEMBL208966,8.52,8.683008333333344
CHEMBL392571,8.52,7.9747566666666785
CHEMBL1914483,8.52,6.747881249999999
CHEMBL2064551,8.52,9.030375000000042
CHEMBL4527411,8.52,6.948120833333354
