id,measured_delta,predicted_delta
CHEMBL139886,1.6800000000000006,0.23096250000000051
CHEMBL4785595,-0.10999999999999943,0.15968889880952347
CHEMBL342210,0.6100000000000012,-0.06511250000000021
CHEMBL341570,0.4400000000000013,-0.3891687499999997
CHEMBL318860,-0.9499999999999993,-1.202899999999997
CHEMBL33306,-0.02999999999999936,-0.09174404761904753
CHEMBL66134,0.15000000000000036,0.10037500000000006
CHEMBL45631,-0.07000000000000028,0.18193750000000036
CHEMBL35348,0.129999999999999,-0.13276166666666595
CHEMBL2048512,-0.049999999999998934,-0.4496781250000002
CHEMBL99981,1.9000000000000004,1.939750000000003
CHEMBL102798,-0.8600000000000012,-1.390981250000004
CHEMBL281371,0.1899999999999995,0.07797812500000009
CHEMBL75094,-1.3200000000000003,-2.2196125000000095
CHEMBL2107228,0.9000000000000004,-0.028560059523809765
CHEMBL109596,-0.22000000000000064,-0.20472428571428544
CHEMBL328381,2.0,0.8767262500000012
CHEMBL99103,-2.0900000000000007,-1.1780749999999989
CHEMBL514138,-0.28000000000000025,-0.911350000000003
CHEMBL344828,-0.5600000000000005,-0.5770249999999989
CHEMBL4584813,-1.040000000000001,-1.618806250000001
CHEMBL4780030,0.6699999999999999,-1.0308750000000027
CHEMBL515980,-2.0700000000000003,-2.638325000000007
CHEMBL210133,-1.3199999999999994,-1.6095625000000018
CHEMBL317132,-2.87,-2.164780208333335
CHEMBL376557,-0.9500000000000002,-1.4490445833333283
CHEMBL76043,-1.9800000000000004,-3.1079749999999957
CHEMBL358539,-0.7400000000000002,-1.4846749999999926
CHEMBL75302,-2.4400000000000004,-2.8194374999999985
CHEMBL302227,0.3200000000000003,0.20682500000000034
CHEMBL420657,-1.67,-1.768912500000001
CHEMBL294066,-2.4000000000000004,-1.9908250000000052
CHEMBL43479,-2.2300000000000004,-1.829602500000004
CHEMBL3617407,-2.4349999999999996,-2.755161666666668
CHEMBL1090647,-2.4400000000000004,-1.9026750000000008
CHEMBL304243,-2.84,-0.9251699999999997
CHEMBL75618,-1.9999999999999991,-2.408874999999999
CHEMBL343911,-3.079999999999999,-1.8306708333333312
CHEMBL145,-1.0,-0.5534416666666656
CHEMBL348210,-1.8100000000000005,-1.6892749999999972
CHEMBL179288,-2.5299999999999994,-2.493006250000004
CHEMBL3617402,-2.9300000000000006,-2.6741166666666705
CHEMBL3891386,-1.4500000000000002,-1.5514312499999954
CHEMBL474723,-1.21,-0.609850000000002
