rank,id,smiles,fitness,pred_pIC50,affinity_norm,permeability_norm,safety_norm,druglikeness_qed,n_chelators,chelator_penalty,logKp_cm_h,struct_alerts,applicability_tanimoto,is_hit,canon,pIC50_adamts5,pIC50_adamts4,selectivity,pareto,sa_score,MW,cLogP,HBD,HBA,TPSA,rotB,lipinski_ok,veber_ok,pred_uncertainty,developable
1,CAND-01062,COc1c(C2CCN(C(=O)[C@@H](C)C[C@@]3(C)NC(=O)NC3=O)CC2)cc(Cl)c(F)c1OC,0.6946457135550621,7.463583534107144,0.7036245629247501,0.4166666578909538,0.75,0.6427781069756232,1,1.0,-3.474189400000001,1,0.7575757575757576,True,COc1c(C2CCN(C(=O)[C@@H](C)C[C@@]3(C)NC(=O)NC3=O)CC2)cc(Cl)c(F)c1OC,7.31,7.38,-0.07,False,3.77,455.9,2.83,2,5,97.0,6,True,True,0.286,True
2,CAND-01024,COc1cc(N2CCN(C(=O)[C@@H](C)C[C@@]3(C4CC4)NC(=O)NC3=O)CC2)cc(F)c1O,0.6931307954156455,7.57594622964242,0.7379122426109372,0.2014146308329747,0.75,0.5805822470339229,1,1.0,-4.4961958000000015,1,0.7313432835820896,True,COc1cc(N2CCN(C(=O)[C@@H](C)C[C@@]3(C4CC4)NC(=O)NC3=O)CC2)cc(F)c1O,7.58,7.52,0.06,True,3.64,434.5,1.2,3,6,111.2,6,True,True,0.424,True
3,CAND-01063,COc1c(C2CCN(C(=O)[C@@H](C)C[C@@]3(C)NC(=O)NC3=O)CC2)cc(Cl)c(F)c1O,0.6843262338280158,7.463583534107144,0.7036245629247501,0.3893779897755925,0.75,0.6083798412188025,1,1.0,-3.603754700000001,1,0.7352941176470589,True,COc1c(C2CCN(C(=O)[C@@H](C)C[C@@]3(C)NC(=O)NC3=O)CC2)cc(Cl)c(F)c1O,7.34,7.36,-0.02,False,3.86,441.9,2.52,3,5,108.0,5,True,True,0.337,True
4,CAND-01023,COc1cc(F)cc(N2CCN(C(=O)[C@@H](C)C[C@@]3(C4CC4)NC(=O)NC3=O)CC2)c1OC,0.673223841779154,7.380420206071806,0.6782471230215059,0.2287032989483358,0.75,0.6136676008946699,1,1.0,-4.366630500000002,1,0.7058823529411765,True,COc1cc(F)cc(N2CCN(C(=O)[C@@H](C)C[C@@]3(C4CC4)NC(=O)NC3=O)CC2)c1OC,7.49,7.57,-0.08,False,3.61,448.5,1.51,2,6,100.2,7,True,True,0.352,True
5,CAND-01025,COc1cc(F)cc(N2CCN(C(=O)[C@@H](C)C[C@@]3(C4CC4)NC(=O)NC3=O)CC2)c1O,0.6695488066742575,7.421387166718583,0.6907482651281612,0.2014146308329745,0.75,0.5805822470339229,1,1.0,-4.496195800000002,1,0.7313432835820896,True,COc1cc(F)cc(N2CCN(C(=O)[C@@H](C)C[C@@]3(C4CC4)NC(=O)NC3=O)CC2)c1O,7.6,7.59,0.01,True,3.67,434.5,1.2,3,6,111.2,6,True,True,0.323,True
6,CAND-00726,COc1c(N2CCN(C(=O)[C@@H](C)C[C@@]3(c4ccccn4)NC(=O)NC3=O)CC2)cc(F)c(F)c1OC,0.6689447488875757,7.469322780604454,0.7053759043695453,0.2000174390961154,0.75,0.5541893223426769,1,1.0,-4.502829600000002,1,0.7567567567567568,True,COc1c(N2CCN(C(=O)[C@@H](C)C[C@@]3(c4ccccn4)NC(=O)NC3=O)CC2)cc(F)c(F)c1OC,7.6,7.4,0.2,False,3.82,503.5,1.79,2,7,113.1,7,True,True,0.338,True
7,CAND-01428,COc1c(N2CCN(C(=O)[C@@H](C)C[C@@]3(C)NC(=O)NC3=O)C[C@@H]2C)cc(F)c(F)c1OC,0.6677546294120438,7.30387187201946,0.6548882604916009,0.241583187700382,0.75,0.6343683305541445,1,1.0,-4.305477400000003,1,0.7352941176470589,True,COc1c(N2CCN(C(=O)[C@@H](C)C[C@@]3(C)NC(=O)NC3=O)C[C@@H]2C)cc(F)c(F)c1OC,7.28,7.31,-0.03,False,4.06,454.5,1.64,2,6,100.2,6,True,True,0.317,True
8,CAND-00589,CC[C@]1(C[C@H](C)C(=O)N2CCN(c3cc(F)c(F)c(OC)c3OC)CC2)NC(=O)NC1=O,0.6605520301257989,7.308405232836264,0.6562716237408357,0.2418224487292151,0.75,0.60805406085127,1,1.0,-4.304341400000002,1,0.7230769230769231,True,CC[C@]1(C[C@H](C)C(=O)N2CCN(c3cc(F)c(F)c(OC)c3OC)CC2)NC(=O)NC1=O,7.42,7.26,0.16,True,3.77,454.5,1.64,2,6,100.2,7,True,True,0.337,True
9,CAND-00727,COc1c(O)c(N2CCN(C(=O)[C@@H](C)C[C@@]3(c4ccccn4)NC(=O)NC3=O)CC2)cc(F)c1F,0.6603083585409477,7.469322780604454,0.7053759043695453,0.1727287709807542,0.75,0.5254013545205833,1,1.0,-4.632394900000001,1,0.7368421052631579,True,COc1c(O)c(N2CCN(C(=O)[C@@H](C)C[C@@]3(c4ccccn4)NC(=O)NC3=O)CC2)cc(F)c1F,7.61,7.25,0.36,False,3.88,489.5,1.48,3,7,124.1,6,True,True,0.303,True
10,CAND-00642,COc1c(N2CCN(C(=O)[C@@H](C)C[C@@]3(C4CC4)NC(=O)NC3=O)C[C@@H]2C)cc(F)c(F)c1OC,0.6555869181506058,7.331577949644263,0.6633428201693867,0.2664653237369158,0.75,0.5797183602197078,1,1.0,-4.187338200000002,1,0.7464788732394366,True,COc1c(N2CCN(C(=O)[C@@H](C)C[C@@]3(C4CC4)NC(=O)NC3=O)C[C@@H]2C)cc(F)c(F)c1OC,7.38,7.55,-0.17,False,4.13,480.5,2.03,2,6,100.2,7,True,True,0.327,True
