rank,id,smiles,fitness,pred_pIC50,affinity_norm,permeability_norm,safety_norm,druglikeness_qed,n_chelators,chelator_penalty,logKp_cm_h,struct_alerts,applicability_tanimoto,is_hit,canon,pIC50_adamts5,pIC50_adamts4,selectivity,pareto
1736,CAND-01047,CC1(C)C[C@@H](O)CN(S(=O)(=O)c2ccc(OCc3ccc(Cl)cc3Cl)c(O)c2)[C@H]1C(=O)NO,0.2224977901037167,8.207869706264587,0.9307448339739696,0.351083883000093,0.5,0.3404031777472183,3,0.3333333333333333,-3.785573300000001,2,0.7941176470588235,True,CC1(C)C[C@@H](O)CN(S(=O)(=O)c2ccc(OCc3ccc(Cl)cc3Cl)c(O)c2)[C@H]1C(=O)NO,8.11,8.43,-0.32,True
804,CAND-01032,CC1(C)C[C@@H](O)CN(S(=O)(=O)c2ccc(OCc3ccc(Cl)cc3Cl)c(Cl)c2)[C@H]1C(=O)NO,0.3397413450582772,8.207869706264587,0.9307448339739696,0.469117372172531,0.5,0.3803675770985656,2,0.5,-3.2251559000000007,2,0.8181818181818182,True,CC1(C)C[C@@H](O)CN(S(=O)(=O)c2ccc(OCc3ccc(Cl)cc3Cl)c(Cl)c2)[C@H]1C(=O)NO,8.11,8.54,-0.43,True
865,CAND-01904,C[C@@H]1[C@H](c2ccccc2O)[C@]1(NS(=O)(=O)c1cc2[nH]c3cc(Cl)ccc3c2s1)C(=O)O,0.3358074754156968,7.575270890259688,0.737706161577332,0.6064838685728214,1.0,0.3425395668090916,2,0.5,-2.5729463000000004,0,0.8225806451612904,True,C[C@@H]1[C@H](c2ccccc2O)[C@]1(NS(=O)(=O)c1cc2[nH]c3cc(Cl)ccc3c2s1)C(=O)O,8.09,6.71,1.38,True
952,CAND-01890,Cc1ccccc1[C@H]1[C@@H](C)[C@@]1(NS(=O)(=O)c1cc2[nH]c3cc(Cl)ccc3c2s1)C(=O)O,0.3287276679204287,7.401847833232115,0.6847858021890689,0.6991620072020517,1.0,0.3835414491544096,2,0.5,-2.1329149,0,0.8225806451612904,True,Cc1ccccc1[C@H]1[C@@H](C)[C@@]1(NS(=O)(=O)c1cc2[nH]c3cc(Cl)ccc3c2s1)C(=O)O,8.09,6.86,1.23,True
866,CAND-01898,COc1cccc([C@H]2[C@@H](C)[C@@]2(NS(=O)(=O)c2cc3[nH]c4cc(Cl)ccc4c3s2)C(=O)O)c1,0.33559751504772,7.525716247194953,0.7225844726549302,0.633772536688183,1.0,0.3663426458932501,2,0.5,-2.443380999999999,0,0.828125,True,COc1cccc([C@H]2[C@@H](C)[C@@]2(NS(=O)(=O)c2cc3[nH]c4cc(Cl)ccc4c3s2)C(=O)O)c1,8.06,6.78,1.28,True
821,CAND-01057,CC1(C)C[C@@H](O)CN(S(=O)(=O)c2ccc(OCc3ccc(Cl)cc3Cl)c(C#N)c2)[C@H]1C(=O)NO,0.338180704740965,8.17487095944451,0.920675206722484,0.364342166439112,0.5,0.3867460204022941,2,0.5,-3.722623600000002,2,0.75,True,CC1(C)C[C@@H](O)CN(S(=O)(=O)c2ccc(OCc3ccc(Cl)cc3Cl)c(C#N)c2)[C@H]1C(=O)NO,8.06,8.49,-0.43,True
644,CAND-01027,CC1(C)C[C@@H](O)CN(S(=O)(=O)c2ccc(OCc3ccc(Cl)cc3Cl)c(F)c2)[C@H]1C(=O)NO,0.3555265250162716,8.382517452801233,0.984038909580076,0.4133507022237479,0.5,0.3967786508083505,2,0.5,-3.4899334000000004,2,0.782608695652174,True,CC1(C)C[C@@H](O)CN(S(=O)(=O)c2ccc(OCc3ccc(Cl)cc3Cl)c(F)c2)[C@H]1C(=O)NO,8.06,8.51,-0.45,True
719,CAND-01876,C[C@@H]1[C@H](c2ccccc2F)[C@]1(NS(=O)(=O)c1cc2[nH]c3cc(Cl)ccc3c2s1)C(=O)O,0.3479310047379098,7.647735066941219,0.7598187361016728,0.6687506877964763,1.0,0.3865088047499441,2,0.5,-2.2773064,0,0.8095238095238095,True,C[C@@H]1[C@H](c2ccccc2F)[C@]1(NS(=O)(=O)c1cc2[nH]c3cc(Cl)ccc3c2s1)C(=O)O,8.05,6.8,1.25,True
852,CAND-01036,Cc1cc(OCc2ccc(Cl)cc2Cl)ccc1S(=O)(=O)N1C[C@H](O)CC(C)(C)[C@@H]1C(=O)NO,0.3369206530391891,8.13432952298031,0.9083039140894592,0.4437620216293231,0.5,0.3989644967788292,2,0.5,-3.345541900000001,2,0.7941176470588235,True,Cc1cc(OCc2ccc(Cl)cc2Cl)ccc1S(=O)(=O)N1C[C@H](O)CC(C)(C)[C@@H]1C(=O)NO,8.04,8.54,-0.5,True
932,CAND-01918,C[C@@H]1[C@H](c2ccccc2C#N)[C@]1(NS(=O)(=O)c1cc2[nH]c3cc(Cl)ccc3c2s1)C(=O)O,0.3305848392575745,7.42286176693413,0.6911982420499054,0.6197421520118408,1.0,0.3852351916339879,2,0.5,-2.5099966,0,0.7727272727272727,True,C[C@@H]1[C@H](c2ccccc2C#N)[C@]1(NS(=O)(=O)c1cc2[nH]c3cc(Cl)ccc3c2s1)C(=O)O,8.01,6.68,1.33,True
1641,CAND-01058,CC1(C)C[C@@H](O)CN(S(=O)(=O)c2ccc(OCc3c(Cl)cc(Cl)cc3C#N)cc2)[C@H]1C(=O)NO,0.2472422141003225,6.982828333077066,0.5569212441599136,0.364342166439112,0.5,0.3867460204022941,2,0.5,-3.722623600000002,2,0.7222222222222222,False,CC1(C)C[C@@H](O)CN(S(=O)(=O)c2ccc(OCc3c(Cl)cc(Cl)cc3C#N)cc2)[C@H]1C(=O)NO,7.83,8.17,-0.34,True
1414,CAND-01028,CC1(C)C[C@@H](O)CN(S(=O)(=O)c2ccc(OCc3c(F)cc(Cl)cc3Cl)cc2)[C@H]1C(=O)NO,0.2667208133300456,7.218431782925739,0.6288160628351724,0.4133507022237479,0.5,0.3967786508083505,2,0.5,-3.4899334000000004,2,0.7647058823529411,True,CC1(C)C[C@@H](O)CN(S(=O)(=O)c2ccc(OCc3c(F)cc(Cl)cc3Cl)cc2)[C@H]1C(=O)NO,7.81,8.22,-0.41,True
994,CAND-01039,Cc1cc(COc2ccc(S(=O)(=O)N3C[C@H](O)CC(C)(C)[C@@H]3C(=O)NO)cc2)c(Cl)cc1Cl,0.3260270870199306,7.991534157050842,0.864729650012425,0.4437620216293231,0.5,0.3989644967788292,2,0.5,-3.345541900000001,2,0.803030303030303,True,Cc1cc(COc2ccc(S(=O)(=O)N3C[C@H](O)CC(C)(C)[C@@H]3C(=O)NO)cc2)c(Cl)cc1Cl,7.81,8.23,-0.42,True
489,CAND-01478,COc1cnn(-c2ccc(S(=O)(=O)N[C@@]3(C(=O)O)[C@H](C)[C@@H]3c3cccc(F)c3)s2)c1,0.3727544473519706,7.609543735916342,0.7481645823922771,0.3909482666475706,1.0,0.5714220116926755,2,0.5,-3.5962991000000004,0,0.8307692307692308,True,COc1cnn(-c2ccc(S(=O)(=O)N[C@@]3(C(=O)O)[C@H](C)[C@@H]3c3cccc(F)c3)s2)c1,7.77,7.0,0.77,True
475,CAND-01480,COc1cnn(-c2ccc(S(=O)(=O)N[C@@]3(C(=O)O)[C@H](C)[C@@H]3c3ccccc3)s2)c1F,0.3754713517227063,7.64515754255493,0.7590321998752199,0.3909482666475706,1.0,0.5714220116926755,2,0.5,-3.5962991000000004,0,0.6764705882352942,True,COc1cnn(-c2ccc(S(=O)(=O)N[C@@]3(C(=O)O)[C@H](C)[C@@H]3c3ccccc3)s2)c1F,7.75,6.97,0.78,True
591,CAND-01494,COc1cnn(-c2ccc(S(=O)(=O)N[C@@]3(C(=O)O)[C@H](C)[C@@H]3c3ccccc3)s2)c1C,0.3602751932724088,7.436447864724648,0.6953440643533607,0.4213595860531458,1.0,0.5762611812271246,2,0.5,-3.451907600000001,0,0.6865671641791045,True,COc1cnn(-c2ccc(S(=O)(=O)N[C@@]3(C(=O)O)[C@H](C)[C@@H]3c3ccccc3)s2)c1C,7.63,7.01,0.62,True
491,CAND-01516,COc1cn(-c2ccc(S(=O)(=O)N[C@@]3(C(=O)O)[C@H](C)[C@@H]3c3ccccc3)s2)nc1C#N,0.3718988635810058,7.630930307671762,0.7546907334288131,0.341939730862935,1.0,0.5548412014920167,2,0.5,-3.828989300000001,0,0.6811594202898551,True,COc1cn(-c2ccc(S(=O)(=O)N[C@@]3(C(=O)O)[C@H](C)[C@@H]3c3ccccc3)s2)nc1C#N,7.62,6.79,0.83,True
628,CAND-01522,COc1cnn(-c2ccc(S(=O)(=O)N[C@@]3(C(=O)O)[C@H](C)[C@@H]3c3ccccc3)s2)c1C#N,0.3570621963121427,7.436447864724648,0.6953440643533607,0.341939730862935,1.0,0.5548412014920167,2,0.5,-3.828989300000001,0,0.647887323943662,True,COc1cnn(-c2ccc(S(=O)(=O)N[C@@]3(C(=O)O)[C@H](C)[C@@H]3c3ccccc3)s2)c1C#N,7.61,6.75,0.86,True
5,CAND-01025,COc1cc(F)cc(N2CCN(C(=O)[C@@H](C)C[C@@]3(C4CC4)NC(=O)NC3=O)CC2)c1O,0.6695488066742575,7.421387166718583,0.6907482651281612,0.2014146308329745,0.75,0.5805822470339229,1,1.0,-4.496195800000002,1,0.7313432835820896,True,COc1cc(F)cc(N2CCN(C(=O)[C@@H](C)C[C@@]3(C4CC4)NC(=O)NC3=O)CC2)c1O,7.6,7.59,0.01,True
701,CAND-01508,COc1cnn(-c2ccc(S(=O)(=O)N[C@@]3(C(=O)O)[C@H](C)[C@@H]3c3ccccc3)s2)c1O,0.3494102248877102,7.436447864724648,0.6953440643533607,0.3286814474239158,1.0,0.5038280586624666,2,0.5,-3.8919390000000007,0,0.6865671641791045,True,COc1cnn(-c2ccc(S(=O)(=O)N[C@@]3(C(=O)O)[C@H](C)[C@@H]3c3ccccc3)s2)c1O,7.59,6.71,0.88,True
