rank,id,smiles,fitness,pred_pIC50,affinity_norm,permeability_norm,safety_norm,druglikeness_qed,n_chelators,chelator_penalty,logKp_cm_h,struct_alerts,applicability_tanimoto,is_hit,canon,pIC50_hdac6,pIC50_hdac1,pIC50_hdac2,pIC50_hdac3,selectivity,pareto,sa_score,MW,cLogP,HBD,HBA,TPSA,rotB,lipinski_ok,veber_ok,pred_uncertainty,developable
1,CAND-02913,Cc1cc(C2(Nc3ncc(C(=O)NO)cn3)CC2)cc(Cl)c1F,0.8017268735397193,8.21132186343688,0.9827470768654556,0.6189663261642898,0.6666666666666667,0.5900666725788605,1,1.0,-2.7678182,2,0.6923076923076923,True,Cc1cc(C2(Nc3ncc(C(=O)NO)cn3)CC2)cc(Cl)c1F,8.41,7.43,7.29,6.92,0.98,False,2.96,336.8,2.8,3,5,87.1,4,True,True,0.189,False
2,CAND-02914,Cc1c(C2(Nc3ncc(C(=O)NO)cn3)CC2)ccc(F)c1Cl,0.8017268735397193,8.21132186343688,0.9827470768654556,0.6189663261642898,0.6666666666666667,0.5900666725788605,1,1.0,-2.7678182,2,0.660377358490566,True,Cc1c(C2(Nc3ncc(C(=O)NO)cn3)CC2)ccc(F)c1Cl,8.49,7.49,7.5,7.13,0.99,True,2.99,336.8,2.8,3,5,87.1,4,True,True,0.167,False
3,CAND-02912,Cc1cc(F)c(Cl)cc1C1(Nc2ncc(C(=O)NO)cn2)CC1,0.8017268735397192,8.21132186343688,0.9827470768654556,0.6189663261642896,0.6666666666666667,0.5900666725788604,1,1.0,-2.767818200000001,2,0.660377358490566,True,Cc1cc(F)c(Cl)cc1C1(Nc2ncc(C(=O)NO)cn2)CC1,8.47,7.54,7.55,7.12,0.92,False,2.9,336.8,2.8,3,5,87.1,4,True,True,0.19,False
4,CAND-02930,N#Cc1c(C2(Nc3ncc(C(=O)NO)cn3)CC2)ccc(F)c1Cl,0.8013232870659459,8.230386055189404,0.989144920364517,0.5571222266819407,0.6666666666666667,0.5780583118345134,1,1.0,-3.1448998999999995,2,0.625,True,N#Cc1c(C2(Nc3ncc(C(=O)NO)cn3)CC2)ccc(F)c1Cl,8.49,7.32,7.65,7.11,0.84,False,3.06,347.7,2.36,3,6,110.9,4,True,True,0.236,False
5,CAND-02928,N#Cc1cc(F)c(Cl)cc1C1(Nc2ncc(C(=O)NO)cn2)CC1,0.8013232870659458,8.230386055189404,0.989144920364517,0.5571222266819404,0.6666666666666667,0.5780583118345133,1,1.0,-3.1448999000000013,2,0.625,True,N#Cc1cc(F)c(Cl)cc1C1(Nc2ncc(C(=O)NO)cn2)CC1,8.51,7.26,7.64,7.07,0.87,True,3.02,347.7,2.36,3,6,110.9,4,True,True,0.184,False
6,CAND-02929,N#Cc1cc(C2(Nc3ncc(C(=O)NO)cn3)CC2)cc(Cl)c1F,0.8013232870659458,8.230386055189404,0.989144920364517,0.5571222266819406,0.6666666666666667,0.5780583118345133,1,1.0,-3.1448999000000004,2,0.6666666666666666,True,N#Cc1cc(C2(Nc3ncc(C(=O)NO)cn3)CC2)cc(Cl)c1F,8.47,7.21,7.21,6.87,1.26,True,3.14,347.7,2.36,3,6,110.9,4,True,True,0.192,False
7,CAND-02918,COc1c(C2(Nc3ncc(C(=O)NO)cn3)CC2)ccc(F)c1Cl,0.7691413527614075,8.062138996341174,0.9326820833525166,0.5680476621869687,0.6666666666666667,0.5648899258393862,1,1.0,-3.0782843000000004,2,0.6491228070175439,True,COc1c(C2(Nc3ncc(C(=O)NO)cn3)CC2)ccc(F)c1Cl,8.43,6.96,7.21,6.59,1.22,False,2.94,352.8,2.5,3,6,96.4,5,True,True,0.322,False
8,CAND-02916,COc1cc(F)c(Cl)cc1C1(Nc2ncc(C(=O)NO)cn2)CC1,0.7666988040253389,8.047582461009814,0.9277969858803792,0.5680476621869687,0.6666666666666667,0.5648899258393862,1,1.0,-3.078284300000001,2,0.7090909090909091,True,COc1cc(F)c(Cl)cc1C1(Nc2ncc(C(=O)NO)cn2)CC1,8.49,7.03,7.35,6.83,1.14,True,2.85,352.8,2.5,3,6,96.4,5,True,True,0.166,False
9,CAND-02917,COc1cc(C2(Nc3ncc(C(=O)NO)cn3)CC2)cc(Cl)c1F,0.7666988040253389,8.047582461009814,0.9277969858803792,0.5680476621869687,0.6666666666666667,0.5648899258393862,1,1.0,-3.0782843000000004,2,0.6851851851851852,True,COc1cc(C2(Nc3ncc(C(=O)NO)cn3)CC2)cc(Cl)c1F,8.43,7.02,7.09,6.69,1.34,True,2.93,352.8,2.5,3,6,96.4,5,True,True,0.188,False
10,CAND-02921,O=C(NO)c1cnc(NC2(c3cc(O)c(F)c(Cl)c3)CC2)nc1,0.766167900893817,8.15572698990365,0.964089726748916,0.5467980250323138,0.6666666666666667,0.5026323472867521,1,1.0,-3.207849600000001,2,0.7058823529411765,True,O=C(NO)c1cnc(NC2(c3cc(O)c(F)c(Cl)c3)CC2)nc1,8.47,7.32,7.42,6.81,1.05,False,3.07,338.7,2.19,4,6,107.4,4,True,True,0.166,False
