rank,id,smiles,fitness,pred_pIC50,affinity_norm,permeability_norm,safety_norm,druglikeness_qed,n_chelators,chelator_penalty,logKp_cm_h,struct_alerts,applicability_tanimoto,is_hit,canon,pIC50_hdac6,pIC50_hdac1,pIC50_hdac2,pIC50_hdac3,selectivity,pareto
2081,CAND-00971,O=C(CCCCCCn1cc(-c2ccc3ncnc(Nc4cccc(Cl)c4F)c3c2O)nn1)NO,0.5422956151129334,7.666505807365395,0.7999096449003936,0.6639386972717582,0.5,0.1411359755424555,1,1.0,-2.4936083999999994,3,0.7272727272727273,True,O=C(CCCCCCn1cc(-c2ccc3ncnc(Nc4cccc(Cl)c4F)c3c2O)nn1)NO,9.71,7.45,7.08,6.99,2.26,True
2383,CAND-01077,O=C(CCCCCCn1cc(-c2ccc3ncnc(Nc4ccc(F)c(Cl)c4)c3c2O)nn1)NO,0.5291116345109814,7.587934978212084,0.7735416836964896,0.6639386972717582,0.5,0.1411359755424555,1,1.0,-2.4936083999999994,3,0.7368421052631579,True,O=C(CCCCCCn1cc(-c2ccc3ncnc(Nc4ccc(F)c(Cl)c4)c3c2O)nn1)NO,9.66,7.25,6.97,6.98,2.41,True
2758,CAND-04136,O=C(CCCCCCn1c(C(=O)NC2C3CC4CC(C3)CC2C4)cc2ccc(Br)c(O)c21)NO,0.5129973311359156,7.378532139949902,0.7032671813807408,0.6935492883425819,0.5,0.2045458014851503,1,1.0,-2.313063899999999,3,0.7142857142857143,True,O=C(CCCCCCn1c(C(=O)NC2C3CC4CC(C3)CC2C4)cc2ccc(Br)c(O)c21)NO,9.64,7.7,6.64,6.86,1.94,True
5590,CAND-01452,O=C(CCCCCCCNc1nc2c(O)c(C(=O)O)ccc2c2cnccc12)NO,0.2382108539063144,7.461488064452057,0.7311067577537828,0.6185783836231492,0.3333333333333333,0.147338874230236,2,0.5,-2.770183600000001,4,0.5970149253731343,True,O=C(CCCCCCCNc1nc2c(O)c(C(=O)O)ccc2c2cnccc12)NO,9.61,7.5,7.02,7.26,2.11,True
3028,CAND-04547,O=C(CCCCCCC(=O)Nc1sc2c(Nc3cccc(Cl)c3)ncnc2c1O)NO,0.5039992989270429,7.588072811662329,0.7735879398847951,0.6990683261545481,0.3333333333333333,0.1684622077265954,1,1.0,-2.279412699999998,4,0.6875,True,O=C(CCCCCCC(=O)Nc1sc2c(Nc3cccc(Cl)c3)ncnc2c1O)NO,9.55,7.36,7.2,7.37,2.18,True
4093,CAND-02562,O=C(CCCCCCn1cc(-c2ccc3ncnc(Nc4ccc(OCc5nccs5)c(Cl)c4)c3c2O)nn1)NO,0.4583501855678882,7.279135202768481,0.6699100867486784,0.673126854111217,0.5,0.07798380731183,1,1.0,-2.437585499999999,3,0.7701149425287356,True,O=C(CCCCCCn1cc(-c2ccc3ncnc(Nc4ccc(OCc5nccs5)c(Cl)c4)c3c2O)nn1)NO,9.48,7.03,6.84,6.68,2.45,True
4176,CAND-03850,O=C(CCCCCCn1cc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2O)nn1)NO,0.4531426204255713,7.261886553123548,0.6641215297287457,0.7416344005809654,0.5,0.0702728518706614,1,1.0,-2.019874799999998,3,0.7727272727272727,True,O=C(CCCCCCn1cc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2O)nn1)NO,9.46,6.97,6.71,6.62,2.49,True
95,CAND-02681,O=C(NO)c1ccc(CN2CCc3c(n(CF)c4ccccc34)C2)c(F)c1,0.7068197224849617,7.92305356052941,0.8860057352086436,0.6526688959285495,0.5,0.5460561829354662,1,1.0,-2.562323699999999,3,0.7966101694915254,True,O=C(NO)c1ccc(CN2CCc3c(n(CF)c4ccccc34)C2)c(F)c1,8.51,5.45,5.24,5.55,2.96,True
5,CAND-02928,N#Cc1cc(F)c(Cl)cc1C1(Nc2ncc(C(=O)NO)cn2)CC1,0.8013232870659458,8.230386055189404,0.989144920364517,0.5571222266819404,0.6666666666666667,0.5780583118345133,1,1.0,-3.1448999000000013,2,0.625,True,N#Cc1cc(F)c(Cl)cc1C1(Nc2ncc(C(=O)NO)cn2)CC1,8.51,7.26,7.64,7.07,0.87,True
8,CAND-02916,COc1cc(F)c(Cl)cc1C1(Nc2ncc(C(=O)NO)cn2)CC1,0.7666988040253389,8.047582461009814,0.9277969858803792,0.5680476621869687,0.6666666666666667,0.5648899258393862,1,1.0,-3.078284300000001,2,0.7090909090909091,True,COc1cc(F)c(Cl)cc1C1(Nc2ncc(C(=O)NO)cn2)CC1,8.49,7.03,7.35,6.83,1.14,True
2,CAND-02914,Cc1c(C2(Nc3ncc(C(=O)NO)cn3)CC2)ccc(F)c1Cl,0.8017268735397193,8.21132186343688,0.9827470768654556,0.6189663261642898,0.6666666666666667,0.5900666725788605,1,1.0,-2.7678182,2,0.660377358490566,True,Cc1c(C2(Nc3ncc(C(=O)NO)cn3)CC2)ccc(F)c1Cl,8.49,7.49,7.5,7.13,0.99,True
