rank,id,smiles,fitness,pred_pIC50,affinity_norm,permeability_norm,safety_norm,druglikeness_qed,n_chelators,chelator_penalty,logKp_cm_h,struct_alerts,applicability_tanimoto,is_hit,canon,pIC50_mmp1,pIC50_mmp2,pIC50_mmp3,pIC50_mmp9,pIC50_mmp13,spare_MMP1,min_offtarget_sel,pareto,sa_score,MW,cLogP,HBD,HBA,TPSA,rotB,lipinski_ok,veber_ok,pred_uncertainty,developable
1,CAND-01463,COc1ccc(CNC(=O)c2nc3scc(COCc4ccc(C(N)=O)cc4)c3c(=O)[nH]2)cc1OC,0.7394178551921669,9.100332434492003,0.8997115286602394,0.7228028902944847,1.0,0.2985403028734906,1,1.0,-3.851466600000002,0,0.8260869565217391,True,COc1ccc(CNC(=O)c2nc3scc(COCc4ccc(C(N)=O)cc4)c3c(=O)[nH]2)cc1OC,5.56,6.81,5.67,6.11,9.08,3.52,2.27,False,2.58,508.6,2.75,3,8,145.6,10,True,False,1.017,False
2,CAND-01068,COc1ccc(CNC(=O)c2nc3scc(CNC(=O)c4ccccc4)c3c(=O)[nH]2)cc1OC,0.7376154393840795,8.912229057662207,0.8604416213218354,0.7531734875885133,1.0,0.3579820957438723,1,1.0,-3.587155000000001,0,0.796875,True,COc1ccc(CNC(=O)c2nc3scc(CNC(=O)c4ccccc4)c3c(=O)[nH]2)cc1OC,5.5,6.38,5.65,6.03,8.52,3.02,2.14,False,2.41,478.5,2.86,3,7,122.4,8,True,True,1.167,True
3,CAND-05646,COc1ccc(CNC(=O)c2nc3scc(CC(=O)Nc4ccccc4)c3c(=O)[nH]2)cc1OC,0.7375316575121061,8.912229057662207,0.8604416213218354,0.7736669383813827,1.0,0.3577028228372947,1,1.0,-3.4088030000000007,0,0.8059701492537313,True,COc1ccc(CNC(=O)c2nc3scc(CC(=O)Nc4ccccc4)c3c(=O)[nH]2)cc1OC,5.51,6.92,5.69,6.07,8.58,3.07,1.66,False,2.42,478.5,3.11,3,7,122.4,8,True,True,1.143,True
4,CAND-01465,COc1cc(CNC(=O)c2nc3scc(COCc4ccc(C(N)=O)cc4)c3c(=O)[nH]2)ccc1O,0.7333474191973712,9.100332434492003,0.8997115286602394,0.7079152518042333,1.0,0.2783055162241716,1,1.0,-3.9810319000000014,0,0.7916666666666666,True,COc1cc(CNC(=O)c2nc3scc(COCc4ccc(C(N)=O)cc4)c3c(=O)[nH]2)ccc1O,5.44,6.84,5.69,5.99,9.15,3.71,2.31,False,2.63,494.5,2.44,4,8,156.6,9,True,False,1.012,False
5,CAND-05648,COc1cc(CNC(=O)c2nc3scc(CC(=O)Nc4ccccc4)c3c(=O)[nH]2)ccc1O,0.7322410265277652,8.934292216344133,0.8650476959794727,0.758779299891131,1.0,0.3323905951267628,1,1.0,-3.538368300000001,0,0.782608695652174,True,COc1cc(CNC(=O)c2nc3scc(CC(=O)Nc4ccccc4)c3c(=O)[nH]2)ccc1O,5.43,6.91,5.71,5.96,8.64,3.21,1.73,False,2.48,464.5,2.81,4,7,133.4,7,True,True,1.171,True
6,CAND-01070,COc1cc(CNC(=O)c2nc3scc(CNC(=O)c4ccccc4)c3c(=O)[nH]2)ccc1O,0.7321888277757063,8.934292216344133,0.8650476959794727,0.7382858490982617,1.0,0.3322165992865665,1,1.0,-3.716720300000001,0,0.7727272727272727,True,COc1cc(CNC(=O)c2nc3scc(CNC(=O)c4ccccc4)c3c(=O)[nH]2)ccc1O,5.42,6.28,5.68,5.9,8.55,3.13,2.27,False,2.47,464.5,2.56,4,7,133.4,7,True,True,1.224,True
7,CAND-05628,COc1ccc(CNC(=O)c2nc3scc(-c4cccs4)c3c(=O)[nH]2)cc1OCCOc1nc[nH]n1,0.7308897461785817,9.580715541932108,1.0,0.7507362018717966,0.8,0.2362991539286058,1,1.0,-3.6083664000000018,1,0.7692307692307693,True,COc1ccc(CNC(=O)c2nc3scc(-c4cccs4)c3c(=O)[nH]2)cc1OCCOc1nc[nH]n1,5.57,6.63,5.64,6.18,8.96,3.39,2.33,False,3.09,524.6,3.23,3,10,144.1,10,True,False,1.028,False
8,CAND-00161,COc1ccc(Oc2ccc(S(=O)(=O)c3cccc(O)c3CC(=O)O)cc2)cc1,0.7274229889345586,8.09876124184106,0.6906158250578216,0.8626466424399677,1.0,0.6070502546854925,1,1.0,-2.6344235000000005,0,0.6808510638297872,True,COc1ccc(Oc2ccc(S(=O)(=O)c3cccc(O)c3CC(=O)O)cc2)cc1,5.31,7.47,5.77,7.26,7.56,2.25,0.09,False,2.17,414.4,3.65,2,6,110.1,7,True,True,1.203,True
9,CAND-01464,COc1cccc(CNC(=O)c2nc3scc(COCc4ccc(C(N)=O)cc4)c3c(=O)[nH]2)c1OC,0.7211355632520471,8.92518759289664,0.8631469447799999,0.7228028902944847,1.0,0.2985403028734903,1,1.0,-3.8514666000000015,0,0.7466666666666667,True,COc1cccc(CNC(=O)c2nc3scc(COCc4ccc(C(N)=O)cc4)c3c(=O)[nH]2)c1OC,5.54,6.73,5.72,6.36,8.95,3.41,2.22,False,2.65,508.6,2.75,3,8,145.6,10,True,False,1.019,False
10,CAND-01069,COc1cccc(CNC(=O)c2nc3scc(CNC(=O)c4ccccc4)c3c(=O)[nH]2)c1OC,0.7193331474439597,8.737084216066842,0.823877037441596,0.7531734875885133,1.0,0.3579820957438723,1,1.0,-3.587155000000001,0,0.7164179104477612,True,COc1cccc(CNC(=O)c2nc3scc(CNC(=O)c4ccccc4)c3c(=O)[nH]2)c1OC,5.63,6.31,5.62,6.28,8.37,2.74,2.06,False,2.49,478.5,2.86,3,7,122.4,8,True,True,1.111,True
