rank,id,smiles,fitness,pred_pIC50,affinity_norm,permeability_norm,safety_norm,druglikeness_qed,n_chelators,chelator_penalty,logKp_cm_h,struct_alerts,applicability_tanimoto,is_hit,canon,pIC50_mmp1,pIC50_mmp2,pIC50_mmp3,pIC50_mmp9,pIC50_mmp13,spare_MMP1,min_offtarget_sel,pareto
4452,CAND-05752,CC(C)[C@H](C(=O)NO)N(CCn1cc(CCCCOc2cc(F)cnc2F)nn1)S(=O)(=O)c1ccc(OCCF)cc1,0.2438636654216424,8.788719734613004,0.8346568653365145,0.662694256574598,0.1999999999999999,0.1013296605834257,2,0.5,-4.3745847,4,0.8271604938271605,True,CC(C)[C@H](C(=O)NO)N(CCn1cc(CCCCOc2cc(F)cnc2F)nn1)S(=O)(=O)c1ccc(OCCF)cc1,6.84,8.71,7.02,8.87,9.92,3.08,1.05,True
4450,CAND-05764,Cc1cnc(F)c(OCCCCc2cn(CCN([C@@H](C(=O)NO)C(C)C)S(=O)(=O)c3ccc(OCCF)cc3)nn2)c1,0.2439326438623931,8.788719734613004,0.8346568653365145,0.679285492446125,0.1999999999999999,0.1017895168550968,2,0.5,-4.2301932,4,0.8170731707317073,True,Cc1cnc(F)c(OCCCCc2cn(CCN([C@@H](C(=O)NO)C(C)C)S(=O)(=O)c3ccc(OCCF)cc3)nn2)c1,6.84,8.37,6.96,8.9,9.86,3.02,0.96,True
1701,CAND-00121,CC(CF)[C@H](NS(=O)(=O)c1ccc(-c2cccc(CNC(=O)c3nc4ccccc4c(=O)[nH]3)c2)cc1)C(=O)O,0.3614904383349454,9.124112861709396,0.9046761135020074,0.7008924599528158,1.0,0.2354760663962903,2,0.5,-4.042150400000002,0,0.8529411764705882,True,CC(CF)[C@H](NS(=O)(=O)c1ccc(-c2cccc(CNC(=O)c3nc4ccccc4c(=O)[nH]3)c2)cc1)C(=O)O,5.49,7.95,6.88,7.07,9.7,4.21,1.75,True
2147,CAND-04102,O=C(NO)C1(S(=O)(=O)c2ccc(Oc3cc4c(c(C(F)(F)F)c3)OCO4)cc2)CCN(C2CC2)CC1,0.3207630610396147,8.543242915073918,0.78340923693403,0.7704148532291827,0.6,0.4327383453740484,2,0.5,-3.4371055000000004,2,0.7424242424242424,True,O=C(NO)C1(S(=O)(=O)c2ccc(Oc3cc4c(c(C(F)(F)F)c3)OCO4)cc2)CCN(C2CC2)CC1,5.54,9.48,7.43,9.22,9.67,4.13,0.19,True
1659,CAND-00079,Cc1cccc2nc(C(=O)NCc3cccc(-c4ccc(S(=O)(=O)N[C@H](C(=O)O)C(C)C)cc4)c3)[nH]c(=O)c12,0.3691726146017706,9.22969541780812,0.9267183397736832,0.7329435243484225,1.0,0.2499535310556648,2,0.5,-3.7632139000000007,0,0.8260869565217391,True,Cc1cccc2nc(C(=O)NCc3cccc(-c4ccc(S(=O)(=O)N[C@H](C(=O)O)C(C)C)cc4)c3)[nH]c(=O)c12,5.36,6.93,7.26,6.98,9.63,4.27,2.37,True
2082,CAND-04082,O=C(NO)C1(S(=O)(=O)c2ccc(Oc3cc(Cl)c4c(c3)OCO4)cc2)CCN(C2CC2)CC1,0.3239605054808132,8.512557876922182,0.7770031924216851,0.7641219004118162,0.6,0.464731382502613,2,0.5,-3.4918723000000025,2,0.7777777777777778,True,O=C(NO)C1(S(=O)(=O)c2ccc(Oc3cc(Cl)c4c(c3)OCO4)cc2)CCN(C2CC2)CC1,5.78,9.51,7.48,9.1,9.55,3.77,0.04,True
2119,CAND-04077,O=C(NO)C1(S(=O)(=O)c2ccc(Oc3cc(F)c4c(c3)OCO4)cc2)CCN(C2CC2)CC1,0.3219464882403073,8.426684163342099,0.7590755356622542,0.7336977691023329,0.6,0.4811840288316255,2,0.5,-3.7566498000000026,2,0.7903225806451613,True,O=C(NO)C1(S(=O)(=O)c2ccc(Oc3cc(F)c4c(c3)OCO4)cc2)CCN(C2CC2)CC1,5.78,9.43,7.5,9.19,9.51,3.73,0.08,True
2154,CAND-04107,N#Cc1cc(Oc2ccc(S(=O)(=O)C3(C(=O)NO)CCN(C4CC4)CC3)cc2)cc2c1OCO2,0.3203803665524962,8.439570840236364,0.7617658574207818,0.7069606135689892,0.6,0.4662593479820049,2,0.5,-3.989340000000002,2,0.7424242424242424,True,N#Cc1cc(Oc2ccc(S(=O)(=O)C3(C(=O)NO)CCN(C4CC4)CC3)cc2)cc2c1OCO2,5.73,9.08,7.57,8.94,9.48,3.75,0.4,True
2106,CAND-04087,Cc1cc(Oc2ccc(S(=O)(=O)C3(C(=O)NO)CCN(C4CC4)CC3)cc2)cc2c1OCO2,0.3225661643727598,8.426684163342099,0.7590755356622542,0.75028900497386,0.6,0.4853152030479756,2,0.5,-3.6122583000000015,2,0.7777777777777778,True,Cc1cc(Oc2ccc(S(=O)(=O)C3(C(=O)NO)CCN(C4CC4)CC3)cc2)cc2c1OCO2,5.66,9.2,7.52,9.07,9.42,3.76,0.22,True
2311,CAND-01397,CCCOc1ccc(S(=O)(=O)N2C[C@@H](N3CCCCC3)C[C@@H]2C(=O)NO)c(C#N)c1,0.3102071187230477,8.176400299117546,0.7068243516482153,0.669061472182667,0.6,0.4900068720732929,2,0.5,-4.3191716000000016,2,0.7121212121212122,True,CCCOc1ccc(S(=O)(=O)N2C[C@@H](N3CCCCC3)C[C@@H]2C(=O)NO)c(C#N)c1,6.56,7.74,6.92,7.25,9.06,2.5,1.32,True
73,CAND-04975,N#Cc1cc(Oc2ccc(S(=O)(=O)C3(C(=O)NO)CCNCC3)cc2)ccc1Cl,0.6554754738082555,8.52542334103789,0.7796890856374488,0.7458174036889564,0.6,0.4854364366317706,1,1.0,-3.651174100000001,2,0.7037037037037037,True,N#Cc1cc(Oc2ccc(S(=O)(=O)C3(C(=O)NO)CCNCC3)cc2)ccc1Cl,5.65,9.01,7.67,8.58,9.04,3.39,0.03,True
2178,CAND-00254,O=C(NO)C1(NS(=O)(=O)c2ccc(Oc3ccc(F)c(F)c3)cc2)CC1,0.3193234298344339,8.257782688535615,0.7238143650402513,0.7548594815974605,0.6,0.5224655904958075,2,0.5,-3.5724820000000017,2,0.7777777777777778,True,O=C(NO)C1(NS(=O)(=O)c2ccc(Oc3ccc(F)c(F)c3)cc2)CC1,6.21,8.79,7.26,7.48,8.94,2.73,0.15,True
59,CAND-04951,O=C(NO)C1(S(=O)(=O)c2ccc(Oc3ccc(Cl)c(F)c3)cc2)CCNCC1,0.6596262200291243,8.52542334103789,0.7796890856374488,0.7725545592223,0.6,0.4992722573679999,1,1.0,-3.418483900000002,2,0.7450980392156863,True,O=C(NO)C1(S(=O)(=O)c2ccc(Oc3ccc(Cl)c(F)c3)cc2)CCNCC1,5.8,9.18,7.67,8.53,8.93,3.13,-0.25,True
2639,CAND-00251,O=C(NO)C1(NS(=O)(=O)c2ccc(Oc3ccc(F)cc3)cc2F)CC1,0.2963541805087873,7.817690653261127,0.6319373677376648,0.7548594815974606,0.6,0.5224655904958075,2,0.5,-3.5724820000000013,2,0.723404255319149,True,O=C(NO)C1(NS(=O)(=O)c2ccc(Oc3ccc(F)cc3)cc2F)CC1,6.15,7.63,7.08,7.49,8.89,2.74,1.26,True
