rank,id,smiles,fitness,pred_pIC50,affinity_norm,permeability_norm,safety_norm,druglikeness_qed,n_chelators,chelator_penalty,logKp_cm_h,struct_alerts,applicability_tanimoto,is_hit,pIC50_mmp1,pIC50_mmp2,pIC50_mmp3,pIC50_mmp9,pIC50_mmp13,sel_vs_mmp2,sel_vs_mmp3,sel_vs_mmp9,sel_vs_mmp13,min_MMP1_selectivity,potent_and_MMP1_selective
36,CAND-14209,N#Cc1ccccc1C[C@H](CC(=O)NO)C(=O)NS(=O)(=O)C1=CC=CC2=CCC(=O)CN21,0.3697369786201561,7.738309775090249,1.0,0.1230533581153518,0.6,0.3982465241343741,2,0.5,-5.038378200000002,2,0.5285714285714286,True,7.53,6.87,6.58,6.74,7.31,0.66,0.95,0.79,0.22,0.22,True
41,CAND-14257,CC(C)CC(NC(=O)[C@@H](CC(=O)NO)Cc1ccccc1C#N)C(=O)O,0.3031630738991998,7.039226618374376,0.7415531602117843,0.3877858094425596,0.6,0.3851652256416918,2,0.5,-4.032662000000001,2,0.5254237288135594,True,7.01,7.56,6.92,7.06,7.72,-0.55,0.09,-0.05,-0.71,-0.71,False
42,CAND-14312,CC(C)C[C@H](NC(=O)[C@@H](CC(=O)NO)Cc1ccccc1C#N)C(=O)O,0.3031630738991998,7.039226618374376,0.7415531602117843,0.3877858094425596,0.6,0.3851652256416918,2,0.5,-4.032662000000001,2,0.5254237288135594,True,7.01,7.56,6.92,7.06,7.72,-0.55,0.09,-0.05,-0.71,-0.71,False
46,CAND-14144,CC(C)C[C@H](CC(=O)NNS(=O)(=O)c1ccc([N+](=O)[O-])cc1)C(=O)NC(=O)[C@@H](CC(=O)NO)Cc1ccccc1C#N,0.2579624810681737,7.200709912452952,0.8012525631115187,0.0,0.4,0.1176622686019604,2,0.5,-5.505856800000001,3,0.5232558139534884,True,6.88,6.77,6.69,7.06,7.51,0.11,0.19,-0.18,-0.63,-0.63,False
47,CAND-14147,CC(C)C[C@H](CC(=O)NNS(=O)(=O)c1ccccc1[N+](=O)[O-])C(=O)NC(=O)[C@@H](CC(=O)NO)Cc1ccccc1C#N,0.2246123760633879,6.839869799992586,0.6678521430923755,0.0,0.4,0.1176622686019604,2,0.5,-5.505856800000001,3,0.5287356321839081,False,6.83,6.7,6.67,6.91,7.47,0.13,0.16,-0.08,-0.64,-0.64,False
2,CAND-00035,CCCCCCCCS(=O)(=O)C(C)(Cc1ccccc1C#N)C(=O)NO,0.5599472990989753,7.064568843980943,0.7509220286479599,0.7144722374967455,0.4,0.3482876159166513,1,1.0,-2.7915832000000003,3,0.6666666666666666,True,6.78,6.5,6.63,6.59,7.05,0.28,0.15,0.19,-0.27,-0.27,False
4,CAND-14322,CC(C)C[C@@H](C=O)NC(=O)[C@@H](CC(=O)NO)Cc1ccccc1C#N,0.5219478659279562,6.849096809687428,0.6712633130990021,0.4348369606561321,0.4,0.3543873645948504,1,1.0,-3.8539151,3,0.6,False,6.71,7.33,6.76,6.95,7.45,-0.62,-0.05,-0.24,-0.74,-0.74,False
1,CAND-00037,CC(Cc1ccccc1C#N)(C(=O)NO)S(=O)(=O)c1cccs1,0.6356584468577933,6.796562588418536,0.6518417273588122,0.5310587732374199,0.6,0.632458610594624,1,1.0,-3.4883693000000005,2,0.6666666666666666,False,6.65,7.19,6.56,6.71,6.96,-0.54,0.09,-0.06,-0.31,-0.54,False
10,CAND-13945,N#Cc1ccccc1C[C@H](CC(=O)NO)C(=O)NC1CCCCCCCCCCNC1=O,0.4817436465988239,6.345509949011723,0.4850902785319555,0.5396713495767684,0.6,0.3973283577761541,1,1.0,-3.4556502000000027,2,0.5967741935483871,False,6.57,7.71,7.02,6.33,7.24,-1.14,-0.45,0.24,-0.67,-1.14,False
11,CAND-13956,N#Cc1ccccc1C[C@H](CC(=O)NO)C(=O)N[C@H]1CCCCCCCCCCNC1=O,0.4817436465988239,6.345509949011723,0.4850902785319555,0.5396713495767684,0.6,0.3973283577761541,1,1.0,-3.4556502000000027,2,0.5967741935483871,False,6.57,7.71,7.02,6.33,7.24,-1.14,-0.45,0.24,-0.67,-1.14,False
24,CAND-13947,N#Cc1ccccc1C[C@H](CC(=O)NO)C(=O)NC1CCCCNCCCCCCNC1=O,0.4597100984084231,6.345509949011723,0.4850902785319555,0.2930486279119897,0.6,0.3238831971414844,1,1.0,-4.3925677000000025,2,0.6153846153846154,False,6.54,7.43,6.69,6.26,7.27,-0.89,-0.15,0.28,-0.73,-0.89,False
7,CAND-13946,CN1CCCCCNC(=O)C(NC(=O)[C@@H](CC(=O)NO)Cc2ccccc2C#N)CCCC1,0.4857426603457778,6.39894090854657,0.5048433830174146,0.284096514048072,0.6,0.377736562790235,1,1.0,-4.426576700000001,2,0.5507246376811594,False,6.53,6.77,6.63,6.32,7.37,-0.24,-0.1,0.21,-0.84,-0.84,False
