rank,id,smiles,fitness,pred_pIC50,affinity_norm,permeability_norm,safety_norm,druglikeness_qed,n_chelators,chelator_penalty,logKp_cm_h,struct_alerts,applicability_tanimoto,is_hit
1,CAND-00037,CC(Cc1ccccc1C#N)(C(=O)NO)S(=O)(=O)c1cccs1,0.6356584468577933,6.796562588418536,0.6518417273588122,0.5310587732374199,0.6,0.632458610594624,1,1.0,-3.4883693000000005,2,0.6666666666666666,False
2,CAND-00035,CCCCCCCCS(=O)(=O)C(C)(Cc1ccccc1C#N)C(=O)NO,0.5599472990989753,7.064568843980943,0.7509220286479599,0.7144722374967455,0.4,0.3482876159166513,1,1.0,-2.7915832000000003,3,0.6666666666666666,True
3,CAND-00013,N#Cc1ccccc1-c1ccc(S(=O)(=O)CCC(=O)NO)cc1,0.5350863181347026,6.235580635824928,0.44445007239870554,0.5621785100306895,0.6,0.6428709397844996,1,1.0,-3.3701457,2,0.5416666666666666,False
4,CAND-14322,CC(C)C[C@@H](C=O)NC(=O)[C@@H](CC(=O)NO)Cc1ccccc1C#N,0.5219478659279562,6.849096809687428,0.6712633130990021,0.4348369606561321,0.4,0.35438736459485043,1,1.0,-3.8539151,3,0.6,False
5,CAND-00004,CC(C)C(C(=O)NO)S(=O)(=O)c1ccc(-c2ccccc2C#N)cc1,0.4949265448809078,6.038051131735065,0.371424602386263,0.6357152991412717,0.6,0.6307141456259209,1,1.0,-3.0907801000000004,2,0.5306122448979592,False
6,CAND-00055,N#Cc1ccccc1NS(=O)(=O)N1CCc2c([nH]c3cc(F)ccc23)C1,0.49198517344849413,5.6236956592023395,0.21823987551040205,0.684622495815336,0.8,0.7428841189776437,1,1.0,-2.9049821000000002,1,0.5342465753424658,False
7,CAND-13946,CN1CCCCCNC(=O)C(NC(=O)[C@@H](CC(=O)NO)Cc2ccccc2C#N)CCCC1,0.4857426603457778,6.39894090854657,0.5048433830174146,0.28409651404807207,0.6,0.377736562790235,1,1.0,-4.426576700000001,2,0.5507246376811594,False
8,CAND-00011,N#Cc1ccccc1-c1ccc(S(=O)(=O)CC(=O)NO)cc1,0.4829322637370791,5.931502803108778,0.33203432591680426,0.5117950529495857,0.6,0.6563836692622564,1,1.0,-3.561552,2,0.6341463414634146,False
9,CAND-13957,N#Cc1ccccc1C[C@H](CC(=O)NO)C(=O)N[C@H]1CCCCNC1=O,0.48274992520165105,6.295261022817899,0.46651355264064154,0.23737060709014543,0.6,0.43164382960443437,1,1.0,-4.604088000000002,2,0.5901639344262295,False
10,CAND-13945,N#Cc1ccccc1C[C@H](CC(=O)NO)C(=O)NC1CCCCCCCCCCNC1=O,0.48174364659882396,6.345509949011723,0.4850902785319555,0.5396713495767684,0.6,0.3973283577761541,1,1.0,-3.4556502000000027,2,0.5967741935483871,False
11,CAND-13956,N#Cc1ccccc1C[C@H](CC(=O)NO)C(=O)N[C@H]1CCCCCCCCCCNC1=O,0.48174364659882396,6.345509949011723,0.4850902785319555,0.5396713495767684,0.6,0.3973283577761541,1,1.0,-3.4556502000000027,2,0.5967741935483871,False
12,CAND-00045,CC(C)C[C@H](C(=O)NO)N(Cc1ccccc1C#N)P(C)(C)=O,0.4792970999914116,6.45794013783742,0.5266550433523494,0.7235599136718142,0.4,0.4532319277174564,1,1.0,-2.7570592,3,0.66,False
13,CAND-00053,N#Cc1ccccc1N1CCc2cc(O)ccc2C1C(=O)NO,0.4699476677648478,5.983395433985732,0.3512187195466681,0.5919627343155062,0.6,0.581127693305046,1,1.0,-3.2569957000000005,2,0.5423728813559322,False
