molecule_chembl_id,canonical_smiles,pIC50_median,n_measurements
CHEMBL4066965,C[C@H](Cc1ccc(C(F)(F)F)cc1)C(=O)NC[C@@]1(C2CC2)NC(=O)NC1=O,9.0,3
CHEMBL179552,CC1(C)C[C@@H](O)CN(S(=O)(=O)c2ccc(OCc3ccc(Cl)cc3Cl)cc2)[C@H]1C(=O)NO,8.85,1
CHEMBL4072836,CC[C@H](Cc1ccc(C(F)(F)F)cc1)C(=O)NC[C@@]1(C2CC2)NC(=O)NC1=O,8.7,3
CHEMBL3980860,O=C1NC(=O)[C@](CNC(=O)[C@@H](Cc2ccc(C(F)(F)F)cc2)C2CC2)(C2CC2)N1,8.7,4
CHEMBL1766903,C[C@@H]1[C@H](c2ccccc2)[C@]1(NS(=O)(=O)c1cc2[nH]c3cc(Cl)ccc3c2s1)C(=O)O,8.54,1
CHEMBL3972836,CC(C)(Cc1ccc(C(F)(F)F)cc1)C(=O)NC[C@@]1(C2CC2)NC(=O)NC1=O,8.4,3
CHEMBL187092,C[C@@]1(O)CCCN(S(=O)(=O)c2ccc(OCc3ccc(F)cc3Cl)cc2)[C@H]1C(=O)NO,8.2,5
CHEMBL1078281,C[C@@H]1[C@H](c2ccccc2)[C@]1(NS(=O)(=O)c1ccc(-n2cc(Cl)cn2)s1)C(=O)O,8.13,2
CHEMBL3955404,CC(C)[C@H](Cc1ccc(C(F)(F)F)cc1)C(=O)NC[C@@]1(C2CC2)NC(=O)NC1=O,8.1,3
CHEMBL4864283,CC1[C@](C)(c2ccccc2)[C@]1(NS(=O)(=O)N1CCc2c(nc3cc(F)ccn23)C1)C(=O)O,8.1,1
CHEMBL1766904,C[C@@H]1[C@H](c2ccccc2)[C@]1(NS(=O)(=O)c1cc2[nH]c3cc(F)ccc3c2s1)C(=O)O,8.08,1
CHEMBL1767014,C[C@@H]1[C@](C)(c2ccccc2)[C@]1(NS(=O)(=O)N1CCc2c(nc3cc(F)ccn23)C1)C(=O)O,8.08,1
CHEMBL1767011,C[C@@H]1[C@H](c2ccccc2)[C@]1(NS(=O)(=O)N1CCc2c(nn3cc(F)ccc23)C1)C(=O)O,8.07,1
CHEMBL1078454,C[C@]1(c2ccccc2)C[C@@]1(NS(=O)(=O)c1ccc(-c2ccc(Cl)cc2)s1)C(=O)O,8.0,1
CHEMBL1766905,C[C@@H]1[C@H](c2ccccc2)[C@]1(NS(=O)(=O)c1cc2[nH]c3ccc(F)cc3c2s1)C(=O)O,8.0,1
CHEMBL1767015,C[C@@H]1[C@](C)(c2ccccc2)[C@]1(NS(=O)(=O)N1CCc2c(nn3cc(F)ccc23)C1)C(=O)O,8.0,1
CHEMBL1784336,Cc1cc(F)ccc1CCC1CCN(S(=O)(=O)CC2(N(O)C=O)CCN(C(=O)C3CCC3)CC2)CC1,7.96,1
CHEMBL5769726,CC(CC1(C2CC2)NC(=O)NC1=O)C(=O)N1CCN(c2ccc(F)c(Cl)c2)[C@@H](C)C1,7.96,2
CHEMBL5851590,CC(CC1(C2CC2)NC(=O)NC1=O)C(=O)N1CCN(c2cc(F)cc(Cl)c2)[C@@H](C)C1,7.96,2
CHEMBL3358158,Cn1ccnc1[C@]1(CNC(=O)c2cc3cc(C(F)(F)F)ccc3o2)NC(=O)NC1=O,7.93,4
CHEMBL4874034,C[C@@H](C[C@@]1(C2CC2)NC(=O)NC1=O)C(=O)N1CCN(c2ccc(F)c(F)c2)[C@@H](C)C1,7.92,2
CHEMBL6023444,C[C@H]1CN(C(=O)CC[C@@]2(C3CC3)NC(=O)NC2=O)CCN1c1ccc(Cl)c(Cl)c1,7.92,2
CHEMBL5838438,COC[C@]1(C[C@H](C)C(=O)N2CCC(c3cc(F)c(Cl)c(OC)c3)CC2)NC(=O)NC1=O,7.9,1
CHEMBL5841723,COc1cc(N2CCN(C(=O)CCC3(C4CC4)NC(=O)NC3=O)C[C@@H]2C)cc(F)c1F,7.9,1
CHEMBL5891291,COc1cc(F)cc(N2CCN(C(=O)[C@@H](C)C[C@@]3(C4CC4)NC(=O)NC3=O)CC2)c1,7.9,1
CHEMBL5851756,COc1cc(N2CCN(C(=O)CC[C@@]3(C4CC4)NC(=O)NC3=O)C[C@@H]2C)cc(F)c1F,7.9,1
