molecule_chembl_id,canonical_smiles,pIC50_median,n_measurements
CHEMBL6169315,O=C(/C=C/c1ccc(S(=O)(=O)N[C@@H]2C[C@H]2c2ccccc2)cc1)NO,11.0,1
CHEMBL6145619,O=C(CCCCCCC(=O)N[C@@H]1C[C@H]1c1ccccc1)NO,11.0,1
CHEMBL6174035,O=C(/C=C/c1cccc(S(=O)(=O)N[C@@H]2C[C@H]2c2ccccc2)c1)NO,10.92,1
CHEMBL6133082,O=C(CCCCCCCC(=O)N[C@@H]1C[C@H]1c1ccccc1)NO,10.77,1
CHEMBL6172024,O=C(CCCCCCCCC(=O)N[C@@H]1C[C@H]1c1ccccc1)NO,10.72,1
CHEMBL6173091,O=C(CCCCCC(=O)N[C@@H]1C[C@H]1c1ccccc1)NO,10.55,1
CHEMBL4290831,CC(=O)Nc1ccc(-c2ccnc(Nc3ccc(NC(=O)CCCCCCC(=O)NO)cc3)n2)cc1.Cl,10.0,1
CHEMBL5195946,COc1ccc2c3c(cccc13)C(=O)N(Cc1ccc(C(=O)NO)cc1)C2=O,10.0,1
CHEMBL4098975,O=C(CCCCCCC(=O)Nc1ccc(NCCCn2cc(-c3ncnc4[nH]ccc34)cn2)cc1)NO,9.85,1
CHEMBL3912061,CS(=O)(=O)NCCc1cn(Cc2ccc(C(=O)NO)cc2)c2ccccc12,9.77,1
CHEMBL4243347,O=C(CCCCCCC(=O)Nc1ccc(Nc2nc(-c3cn[nH]c3)c3cc[nH]c3n2)cc1)NO,9.7,1
CHEMBL5618084,O=C(NO)c1c(Cl)cc2c(c1Cl)CCN(C(=O)c1cc3ccccc3[nH]1)C2,9.7,1
CHEMBL4247128,C=CCCn1cc(-c2nc(Nc3ccc(NC(=O)CCCCCCC(=O)NO)cc3)nc3[nH]ccc23)cn1,9.6,1
CHEMBL4748025,O=C(NO)c1cnc(N[C@H](c2ccccc2)C2CC2)c(F)c1,9.56,1
CHEMBL4104117,O=C(NO)c1ccc(CNc2cccc3cccnc23)cc1,9.54,3
CHEMBL4863515,O=C(NO)c1ccc(CN2CCCc3cc(-c4cc[nH]n4)ccc32)cc1,9.52,1
