molecule_chembl_id,canonical_smiles,pIC50_median,n_measurements,n_backbone
CHEMBL144843,CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)[C@H](NS(=O)(=O)c1cccc2cccnc12)C(=O)NO)C(C)(C)C,8.96,1,2
CHEMBL344759,CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)[C@H](NS(=O)(=O)c1ccc2ncccc2c1)C(=O)NO)C(C)(C)C,8.92,1,2
CHEMBL328903,CNC(=O)C(NC(=O)C(CC(C)C)C(NS(=O)(=O)c1cccc2cccc(=O)n12)C(=O)NO)C(C)(C)C,8.89,1,2
CHEMBL342100,CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)[C@H](NS(=O)(=O)c1ccc2ncnc(O)c2c1)C(=O)NO)C(C)(C)C,8.89,1,2
CHEMBL414852,O=C1CC=C2C=CC=C(C(=O)NCC(=O)NO)N2C1,8.89,1,2
CHEMBL198634,O=C1CC=C2C=CC=C(S(=O)(=O)NCC(=O)NO)N2C1,8.89,1,2
CHEMBL344060,CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)[C@@H](C(=O)NO)N(C)S(=O)(=O)c1ccccc1)C(C)(C)C,8.82,1,2
CHEMBL439983,CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)[C@H](NCc1cccc2cccnc12)C(=O)NO)C(C)(C)C,8.77,1,2
CHEMBL144525,CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)[C@@H](C(=O)NO)N1CCOCC1)C(C)(C)C,8.66,1,2
CHEMBL144568,CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)[C@H](NC(=O)c1cccc2cccnc12)C(=O)NO)C(C)(C)C,8.66,1,2
CHEMBL342732,CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)[C@@H](C(=O)NO)N(C)S(=O)(=O)c1cccc2cccnc12)C(C)(C)C,8.62,1,2
CHEMBL144293,CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)[C@H](NS(=O)(=O)c1cccc2cnccc12)C(=O)NO)C(C)(C)C,8.59,1,2
CHEMBL102798,COc1ccc(S(=O)(=O)N(CC(=O)NCc2ccccc2)C(CCSCc2ccccc2)C(=O)NO)cc1,8.29,1,2
CHEMBL471537,CC(C)[C@H](C(=O)NO)N(CC(=O)NCCc1ccc(S(N)(=O)=O)cc1)S(=O)(=O)c1ccc(Oc2ccccc2)cc1,8.11,1,2
CHEMBL56289,NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CS)NC(=O)c1ccc2[nH]nnc2c1,8.1,1,2
CHEMBL292545,CCCCCCCC[C@H](CC(=O)NO)C(=O)N[C@H]1CCCCN(CC(=O)OC)C1=O,7.96,1,2
CHEMBL294618,NC(=O)[C@H](Cc1cccnc1)NC(=O)[C@H](CS)NC(=O)c1ccc2[nH]nnc2c1,7.92,1,2
CHEMBL158823,CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)N[C@H](CCN1C(=O)c2cc3c(cc2C1=O)OCO3)C(=O)O,7.92,1,3
CHEMBL123571,CC(C)C[C@H](CC(=O)NO)C(=O)N[C@@H](Cc1ccccc1)C(=O)NCC=O,7.92,1,2
CHEMBL76222,CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](S)CCN1C(=O)N(C)C(C)(C)C1=O)C(C)(C)C,7.825,2,3
CHEMBL352232,CCCOc1ccc2c(c1)C(=O)N(CC[C@@H](N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccccc1)C(=O)NC)C(=O)O)C2=O,7.82,1,3
CHEMBL102785,COc1ccc(S(=O)(=O)N(CC(=O)NC2CCCCC2)C(CCSCc2ccccc2)C(=O)NO)cc1,7.8,1,2
CHEMBL102438,COc1ccc(CNC(=O)CN(C(CCSCc2ccccc2)C(=O)NO)S(=O)(=O)c2ccc(OC)cc2)cc1,7.72,1,2
CHEMBL352068,CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)N[C@H](CCN1C(=O)c2ccc(-c3ccccc3)cc2C1=O)C(=O)O,7.72,1,3
CHEMBL351888,CNC(=O)C(NC(=O)[C@H](CC(C)C)N[C@H](CCN1C(=O)c2cc3ccccc3cc2C1=O)C(=O)O)c1ccccc1,7.72,1,3
CHEMBL328917,CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)N[C@@H](CCN1C(=O)c2cccc3c(Br)ccc(c23)C1=O)P(=O)(O)O,7.7,1,2
CHEMBL106016,COc1ccc(S(=O)(=O)N(CC(=O)NCc2cccnc2)C(CCSCc2ccccc2)C(=O)NO)cc1,7.7,1,2
CHEMBL27408,COc1ccc(C(C(=O)NC(C)(C)C)N2C(=O)[C@H](CS)NC(=O)[C@@H]2Cc2ccc([N+](=O)[O-])cc2)cc1,7.68,2,3
CHEMBL343855,CN1CC(=O)N([C@H]2C[C@H](C(=O)NO)N(S(=O)(=O)c3ccc(Oc4ccccc4)cc3)C2)C1=O,7.68,1,2
CHEMBL159141,CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)N[C@H](CCN1C(=O)c2cc3ccccc3nc2C1=O)C(=O)O,7.66,1,3
CHEMBL49107,CNC(=O)[C@H](Cc1ccc(OC)cc1)NC(=O)[C@H](CC(C)C)N[C@H](CCN1C(=O)c2cc3ccccc3cc2C1=O)C(=O)O,7.64,1,3
CHEMBL287632,CC(C)CC(C(=O)NC(C)(C)C)N1C(=O)[C@H](CS)NC(=O)[C@@H]1Cc1ccc([N+](=O)[O-])cc1,7.62,2,3
CHEMBL115727,COc1ccc(S(=O)(=O)N2CC(C)(C)CN(S(=O)(=O)c3ccc(OC)cc3)C2C(=O)NO)cc1,7.62,2,2
CHEMBL282581,CC(C)(C)NC(=O)C(c1ccccc1)N1C(=O)[C@H](CS)NC(=O)[C@@H]1Cc1ccc([N+](=O)[O-])cc1,7.6,2,3
CHEMBL126122,CC(C)C[C@H](CC(=O)NO)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](C)C=O,7.6,3,2
CHEMBL5175662,CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](S)CCN1C(=O)N(C)C(C)(C)C1=O)C(C)(C)C,7.6,1,3
CHEMBL295798,CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)N[C@H](CCN1C(=O)c2cc3ccccc3cc2C1=O)C(=O)O,7.585,2,3
CHEMBL301221,NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CS)NC(=O)c1cn[nH]c1,7.58,1,2
CHEMBL56821,NC(=O)[C@H](Cc1cccnc1)NC(=O)[C@H](CS)NC(=O)c1cn[nH]c1,7.58,1,2
CHEMBL130164,CNC(=O)[C@H](Cc1ccc(OC)cc1)NC(=O)[C@H](CC(C)C)[C@@H](S)CC(=O)NCC(=O)O,7.57,1,2
CHEMBL351968,CNC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CC(C)C)N[C@H](CCN1C(=O)c2cc3ccccc3cc2C1=O)C(=O)O,7.54,1,3
CHEMBL29897,COc1ccc(CN2C(=O)[C@H](CS)NC(=O)[C@@H]2CC2CCCCC2)cc1,7.52,2,2
CHEMBL98233,CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)N[C@@H](CCN1C(=O)c2cccc3cccc(c23)C1=O)P(=O)(O)O,7.52,1,2
CHEMBL132443,CNC(=O)[C@H](Cc1ccc(OC)cc1)NC(=O)[C@H](CC(C)C)[C@@H](S)CC(=O)NCC(N)=O,7.5,1,2
CHEMBL59423,NC(=O)[C@H](Cc1cccs1)NC(=O)[C@H](CS)NC(=O)c1ccc2[nH]nnc2c1,7.47,1,2
CHEMBL69323,O=C1N[C@@H](CS)C(=O)N(Cc2ccc3ccccc3n2)[C@H]1CC1CCCCC1,7.46,1,2
CHEMBL284422,CCCCCCCC(C(=O)NC(C)(C)C)N1C(=O)[C@H](CS)NC(=O)[C@@H]1Cc1ccc([N+](=O)[O-])cc1,7.44,2,3
CHEMBL407443,COc1ccc(S(=O)(=O)N(CC(=O)NCc2cc(OC)cc(OC)c2)C(CCSCc2ccccc2)C(=O)NO)cc1,7.44,1,2
CHEMBL161838,CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)N[C@H](CCN1C(=O)c2cc3ccc(OC)cc3cc2C1=O)C(=O)O,7.44,1,3
CHEMBL436623,CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)N[C@H](CCN1C(=O)c2cc3cccc(OC)c3cc2C1=O)C(=O)O,7.44,1,3
CHEMBL25788,CC(C)(C)NC(=O)C(C1CC1)N1C(=O)[C@H](CS)NC(=O)[C@@H]1Cc1ccc([N+](=O)[O-])cc1,7.43,2,3
CHEMBL251687,CC(C)(C)NC(=O)C(Cc1ccccc1)N1C(=O)[C@H](CS)NC(=O)[C@@H]1Cc1ccc([N+](=O)[O-])cc1,7.43,2,3
CHEMBL162072,CC(C)C[C@H](N[C@H](CCN1C(=O)c2cc3ccccc3cc2C1=O)C(=O)O)C(=O)N(C)Cc1ccccc1,7.43,1,2
CHEMBL350140,CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)N[C@H](CCn1c(=O)c2cc3c(=O)[nH]c(=O)c3cc2c1=O)C(=O)O,7.42,1,3
CHEMBL105311,COc1ccc(S(=O)(=O)N(CC(=O)NC(c2ccccn2)c2ccccn2)C(CCSCc2ccccc2)C(=O)NO)cc1,7.41,1,2
CHEMBL298846,NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CS)NC(=O)Nc1ccccc1,7.4,1,2
CHEMBL291714,NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CS)NC(=O)C(F)(F)F,7.4,1,2
CHEMBL92608,CCOC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(=O)NO)CC(C)C,7.4,1,2
CHEMBL29801,CCc1ccc(C(C(=O)NC(C)(C)C)N2C(=O)[C@H](CS)NC(=O)[C@@H]2Cc2ccc([N+](=O)[O-])cc2)cc1,7.39,2,3
CHEMBL348826,CC(C)C[C@H](N[C@H](CCN1C(=O)c2cc3ccccc3cc2C1=O)C(=O)O)C(=O)NCc1cccc(F)c1,7.39,1,2
CHEMBL161572,CC(C)C[C@H](NC(=O)[C@H](CC(C)C)N[C@H](CCN1C(=O)c2cc3ccccc3cc2C1=O)C(=O)O)C(=O)NCCN1CCOCC1,7.36,1,3
CHEMBL4584813,COc1ccc(-c2ccc(S(=O)(=O)N(CCNC(=O)CCCNC(=O)c3cccc(C(=O)NCCCC(=O)NCCN([C@H](CCN4C(=O)c5ccccc5C4=O)C(=O)NO)S(=O)(=O)c4ccc(-c5ccc(OC)cc5)cc4)c3)[C@H](CCN3C(=O)c4ccccc4C3=O)C(=O)NO)cc2)cc1,7.35,1,2
CHEMBL306674,O=C1N[C@@H](CS)C(=O)N(CC2CCCCC2)[C@H]1CC1CCCCC1,7.33,2,2
CHEMBL30134,COc1ccc(CN2C(=O)[C@H](CS)NC(=O)[C@@H]2Cc2ccc([N+](=O)[O-])cc2)cc1,7.33,1,2
CHEMBL125553,CC(C)C[C@H](CC(=O)NO)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C=O,7.33,1,2
CHEMBL417574,COC(=O)CN1CCCC[C@H](NC(=O)[C@H](CC(C)C)[C@@H](C)C(=O)NO)C1=O,7.31,1,2
CHEMBL421029,COc1ccc(S(=O)(=O)N(CC(=O)NCc2c(OC)cc(OC)cc2OC)C(CCSCc2ccccc2)C(=O)NO)cc1,7.31,1,2
CHEMBL161536,CNC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)N[C@H](CCN1C(=O)c2cc3ccccc3cc2C1=O)C(=O)O,7.31,1,3
CHEMBL110312,CC(C)C[C@H](NP(=O)(O)CCCCN1C(=O)c2ccccc2C1=O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCc1ccccc1,7.3,1,2
CHEMBL47842,CC[C@H](N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NC)P(=O)(O)O,7.3,2,2
CHEMBL345244,CC(C)C[C@H](N[C@H](CCN1C(=O)c2cc3ccccc3cc2C1=O)C(=O)O)C(=O)NC(C)c1ccccc1,7.29,1,2
CHEMBL118744,COc1ccc(S(=O)(=O)N2CC(O)CN(S(=O)(=O)c3ccc(OC)cc3)C2C(=O)NO)cc1,7.29,1,2
CHEMBL352231,CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)N[C@H](CCN1C(=O)c2cc3ccccc3c(OC)c2C1=O)C(=O)O,7.27,1,3
CHEMBL345640,CC(C)C[C@H](N[C@H](CCN1C(=O)c2cc3ccccc3cc2C1=O)C(=O)O)C(=O)N1CCN(C)CC1,7.27,1,2
CHEMBL161224,CC(C)C[C@H](N[C@H](CCN1C(=O)c2cc3ccccc3cc2C1=O)C(=O)O)C(=O)NCc1ccc(C(=O)O)cc1,7.25,1,2
CHEMBL416857,CCCCCCCC[C@@H](C(=O)N[C@H]1CCCCN(CC(=O)OC)C1=O)[C@@H](C)C(=O)NO,7.24,1,2
CHEMBL515980,CC(C)[C@H](C(=O)NO)N(CC(=O)O)S(=O)(=O)c1ccc(Oc2ccccc2)cc1,7.23,1,2
CHEMBL422266,CC(C)C[C@H](NC(=O)[C@H](CCc1ccccc1)NC(=O)[C@@H](C)N)C(=O)Nc1ccccc1,7.21,1,3
CHEMBL58546,COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CS)NC(=O)C(F)(F)F,7.2,1,2
CHEMBL26913,CCCN1C(=O)[C@H](CS)NC(=O)[C@@H]1Cc1ccc([N+](=O)[O-])cc1,7.19,2,2
CHEMBL350789,CC(C)C[C@H](N[C@H](CCN1C(=O)c2cc3ccccc3cc2C1=O)C(=O)O)C(=O)NCc1ccc(S(N)(=O)=O)cc1,7.16,1,2
CHEMBL30055,CCCCOc1ccc(C(C(=O)NC(C)(C)C)N2C(=O)[C@H](CS)NC(=O)[C@@H]2Cc2ccc([N+](=O)[O-])cc2)cc1,7.14,2,3
CHEMBL286254,O=C1N[C@@H](CS)C(=O)N(Cc2ccc3ccccc3n2)[C@H]1Cc1ccc([N+](=O)[O-])cc1,7.13,1,2
CHEMBL158571,CC(C)C[C@@H](N[C@H](CCN1C(=O)c2cc3ccccc3cc2C1=O)C(=O)O)C(=O)NC(C)c1ccccc1,7.13,1,2
CHEMBL333729,COc1ccc(S(=O)(=O)N2CCCN(S(=O)(=O)c3ccc(OC)cc3)C2C(=O)NO)cc1,7.1,2,2
CHEMBL118848,COc1ccc(S(=O)(=O)N2CC3(CN(S(=O)(=O)c4ccc(OC)cc4)C2C(=O)NO)SCCCS3)cc1,7.1,1,2
CHEMBL351887,CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)N[C@H](CCN1C(=O)c2ccccc2C1=O)C(=O)O,7.09,1,3
CHEMBL55931,NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CS)NC(=O)c1ccc(O)nc1,7.08,1,2
CHEMBL347249,CC(C)C[C@H](N[C@H](CCN1C(=O)c2cc3ccccc3cc2C1=O)C(=O)O)C(=O)N1CCc2ccccc2C1,7.08,1,2
CHEMBL30034,COc1ccc(CN2C(=O)[C@H](CS)NC(=O)[C@@H]2Cc2ccccc2)cc1,7.075,2,2
CHEMBL158622,CC(C)C[C@H](N[C@H](CCN1C(=O)c2cc3ccccc3cc2C1=O)C(=O)O)C(=O)N1CCCC1c1cccnc1,7.075,2,2
CHEMBL352066,CC(C)C[C@H](N[C@H](CCN1C(=O)c2cc3ccccc3cc2C1=O)C(=O)O)C(=O)N(C)C,7.07,1,2
CHEMBL351344,CNC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N[C@H](CCN1C(=O)c2cc3ccccc3cc2C1=O)C(=O)O,7.07,1,3
CHEMBL433902,CC(C)C[C@H](N[C@H](CCN1C(=O)c2cc3ccccc3cc2C1=O)C(=O)O)C(=O)NCc1ccccc1,7.06,1,2
CHEMBL293130,NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CS)NC(=O)c1ccncc1,7.03,1,2
CHEMBL62436,CCC[C@@H](C(=O)NO)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(CC(=O)OC)C1=O,7.02,1,2
CHEMBL280824,CC(C)(C)NC(=O)C(c1ccc(-c2ccccc2)cc1)N1C(=O)[C@H](CS)NC(=O)[C@@H]1Cc1ccc([N+](=O)[O-])cc1,6.99,2,3
CHEMBL348784,CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)N[C@H](CCNC(=O)OCc1ccccc1)C(=O)O,6.99,1,3
CHEMBL301413,NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CS)NC(=O)c1cccs1,6.98,1,2
CHEMBL29505,CC(C)(C)NC(=O)C(c1ccc(Oc2ccccc2)cc1)N1C(=O)[C@H](CS)NC(=O)[C@@H]1Cc1ccc([N+](=O)[O-])cc1,6.97,2,3
CHEMBL159159,CC(C)C[C@H](N[C@H](CCN1C(=O)c2cc3ccccc3cc2C1=O)C(=O)O)C(=O)NC1CCCc2ccccc21,6.97,1,2
CHEMBL61679,CCCCC[C@H](CC(=O)NO)C(=O)N[C@H]1CCCCN(CC(=O)OC)C1=O,6.89,1,2
CHEMBL54176,NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CS)NC(=O)c1ccsc1,6.89,1,2
CHEMBL161562,CC(C)C[C@H](N[C@H](CCN1C(=O)c2cc3ccccc3cc2C1=O)C(=O)O)C(=O)NCc1cccnc1,6.86,1,2
CHEMBL234530,NS(=O)(=O)c1ccc(CCNC(=O)CN(CC(=O)NO)S(=O)(=O)c2ccc(Oc3ccccc3)cc2)cc1,6.84,1,2
CHEMBL57551,CN(C)c1ccc(C(=O)N[C@@H](CS)C(=O)N[C@@H](Cc2ccccc2)C(N)=O)cc1,6.83,1,2
CHEMBL45133,CC[C@H](N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1nc2ccccc2[nH]1)C(=O)NC)P(=O)(O)O,6.82,1,2
CHEMBL330729,CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)N[C@H](CCN1C(=O)c2cccc3cccc(c23)C1=O)P(=O)(O)O,6.82,1,2
CHEMBL158625,CNC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)N[C@H](CCN1C(=O)c2cc3ccccc3cc2C1=O)C(=O)O,6.82,1,3
CHEMBL4518217,COc1ccc(-c2ccc(S(=O)(=O)N(CCNC(=O)c3cccc(C(=O)NCCN([C@H](CCN4C(=O)c5ccccc5C4=O)C(=O)NO)S(=O)(=O)c4ccc(-c5ccc(OC)cc5)cc4)c3)[C@H](CCN3C(=O)c4ccccc4C3=O)C(=O)NO)cc2)cc1,6.82,1,2
CHEMBL4466038,O=C(CCCNC(=O)c1cccc(C(=O)NCCCC(=O)NCC[C@@H](NS(=O)(=O)c2ccc(-c3ccccc3)cc2)C(=O)NO)c1)NCC[C@@H](NS(=O)(=O)c1ccc(-c2ccccc2)cc1)C(=O)NO,6.81,1,2
CHEMBL159033,CC(C)C[C@H](N[C@H](CCN1C(=O)c2cc3ccccc3cc2C1=O)C(=O)O)C(=O)NCCc1ccccc1,6.8,1,2
CHEMBL300153,NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CS)NC(=O)c1ccoc1,6.77,1,2
CHEMBL339294,CNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CC(C)C)[C@H](CC(=O)OC)SS[C@@H](CC(=O)OC)[C@@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NC,6.755,2,2
CHEMBL87377,CCC(N[C@@H](CC(C)C)C(=O)NC1CCCCCCCCCCNC1=O)P(=O)(O)O,6.74,1,2
